"pf"	"scenario"	"node_ENV"	"node_LSF"	"node_CA"	"beh_excl"	"sigma_lsf"	"range_ca"	"param_mindens_ca"	"param_sigma_ca"
"1"	"Parameters Random 0 17_02_2021 10_57.txt"	"Random"	0.774934696658759	0.337712952366744	0.261464724691941	"False"	3.27507342733398	5.90688433025904	-8.66075739148002	0.494947913625208
"2"	"Parameters Random 1 17_02_2021 10_57.txt"	"Random"	0.102112983707085	0.452392372029492	0.935425102604017	"True"	8.43607621959001	4.05063133104382	-8.60360744019965	6.03984483644052
"3"	"Parameters Random 10 17_02_2021 10_57.txt"	"Random"	0.554175207048846	0.127747094662984	0.732022259580525	"False"	5.64008579499446	2.14751372522191	-7.74330168638779	2.63267202140257
"4"	"Parameters Random 100 17_02_2021 10_57.txt"	"Random"	0.5425339147407	0.331651871601314	0.65917335886627	"True"	1.11182412661004	6.42015918371406	-7.59717471674838	11.7392893138206
"5"	"Parameters Random 1000 17_02_2021 10_58.txt"	"Random"	0.814862918623177	0.631294449360163	0.257136845994502	"False"	3.98788866800884	2.07463321158134	-6.17284374984929	7.31995768981136
"6"	"Parameters Random 1001 17_02_2021 10_58.txt"	"Random"	0.719332958199465	0.817880382616479	0.293212311887499	"True"	4.73237459167887	6.46587634366779	-3.76737875273805	13.854065185453
"7"	"Parameters Random 1002 17_02_2021 10_58.txt"	"Random"	0.631355922795758	0.120398252448757	0.0218822840162204	"False"	7.00065286123509	2.31591194669337	-4.69054378965292	13.4170218546591
"8"	"Parameters Random 1003 17_02_2021 10_58.txt"	"Random"	0.27153662323983	0.946943347003557	0.557526843634809	"True"	3.35089348706756	4.45950706046577	-4.09068014855205	2.76129204604273
"9"	"Parameters Random 1004 17_02_2021 10_58.txt"	"Random"	0.0741794714986781	0.340281328965892	0.123899063291354	"True"	5.01752031230045	0.80387148089127	-4.30194761854151	12.0580005648457
"10"	"Parameters Random 1005 17_02_2021 10_58.txt"	"Random"	0.816258909298067	0.444319997725562	0.901132834721345	"False"	2.29866396309473	2.4351159411327	-3.29666463485674	6.89564942640084
"11"	"Parameters Random 1006 17_02_2021 10_58.txt"	"Random"	0.140866717036743	0.1200573359778	0.108695479874622	"True"	7.8927318060654	5.38949753544644	-3.08391598221812	3.31845698088602
"12"	"Parameters Random 1007 17_02_2021 10_58.txt"	"Random"	0.495456437333495	0.290764924493083	0.959671821010275	"False"	5.83643543485401	5.77176659715928	-8.2845505208355	4.75012973639492
"13"	"Parameters Random 1008 17_02_2021 10_58.txt"	"Random"	0.834371580092232	0.461096699873377	0.363661058961921	"True"	5.58139304360301	1.37119755679803	-3.14791456281879	11.9985146556557
"14"	"Parameters Random 1009 17_02_2021 10_58.txt"	"Random"	0.369195953045052	0.600140375109346	0.427153867527375	"True"	3.37410318126857	0.284107704320027	-6.24943262262463	7.30000002154851
"15"	"Parameters Random 101 17_02_2021 10_57.txt"	"Random"	0.760482325954669	0.182322119886521	0.636361348340178	"False"	1.47750559303976	0.756527799655021	-6.33416658082112	7.36418271496674
"16"	"Parameters Random 1010 17_02_2021 10_58.txt"	"Random"	0.24781557272854	0.138351345285106	0.769873267737411	"False"	6.42797582449783	5.90909547281982	-9.42047077485818	4.15758018127509
"17"	"Parameters Random 1011 17_02_2021 10_58.txt"	"Random"	0.65545537223789	0.912476373555869	0.959059225922922	"False"	0.401613361113682	2.56668866810404	-5.82483687493146	7.38113794668574
"18"	"Parameters Random 1012 17_02_2021 10_58.txt"	"Random"	0.308613946634581	0.365974498801855	0.0700268820776301	"False"	8.03731337816064	2.77140154677461	-4.70439980644468	11.6061160464907
"19"	"Parameters Random 1013 17_02_2021 10_58.txt"	"Random"	0.210927758767725	0.530098408769227	0.330558314226954	"True"	9.30853114014397	4.66753085925159	-3.22750951220847	2.83618082498226
"20"	"Parameters Random 1014 17_02_2021 10_58.txt"	"Random"	0.240109042594483	0.911865605356998	0.125990755288603	"True"	8.52879105765977	4.22912275246303	-7.04099071307911	11.5397259622057
"21"	"Parameters Random 1015 17_02_2021 10_58.txt"	"Random"	0.130408415154018	0.103555566723593	0.160410690387707	"False"	8.08448702235506	4.75384501450044	-8.39091913304218	5.85587840378325
"22"	"Parameters Random 1016 17_02_2021 10_58.txt"	"Random"	0.727265313835315	0.632385573738341	0.659368228049186	"False"	6.76087207766756	2.94525854442702	-4.70188543574841	11.3365215691117
"23"	"Parameters Random 1017 17_02_2021 10_58.txt"	"Random"	0.122128882465196	0.873754498571098	0.39301869003849	"False"	6.36966144514065	2.80955508671981	-8.89901357291376	11.7779455435645
"24"	"Parameters Random 1018 17_02_2021 10_58.txt"	"Random"	0.236713682883197	0.531533298435988	0.654684064981731	"False"	8.22007140296816	4.38648703376277	-3.93580414948697	9.25667105540501
"25"	"Parameters Random 1019 17_02_2021 10_58.txt"	"Random"	0.0970397112432188	0.209142849892911	0.205416437700251	"False"	4.66213892339631	5.95191786284909	-7.59282333883905	4.43619344333156
"26"	"Parameters Random 102 17_02_2021 10_57.txt"	"Random"	0.164123042705183	0.602316645283656	0.41620857456414	"False"	2.72833844958142	4.38768136218333	-5.54203578741557	13.7710016532394
"27"	"Parameters Random 1020 17_02_2021 10_58.txt"	"Random"	0.586023947007013	0.869208917690827	0.904572769441735	"False"	5.20482097717122	3.62154565020386	-6.47450999199938	3.43293801032409
"28"	"Parameters Random 1021 17_02_2021 10_58.txt"	"Random"	0.0186527827010231	0.749811052328557	0.338747228385245	"True"	4.3246408759298	5.71664848606516	-5.07168730437971	13.9882697450243
"29"	"Parameters Random 1022 17_02_2021 10_58.txt"	"Random"	0.529492046542935	0.381184582028859	0.314684892906116	"False"	3.05613442327902	6.58216251307204	-4.24260013494795	2.34604988802491
"30"	"Parameters Random 1023 17_02_2021 10_58.txt"	"Random"	0.406078079912942	0.104415650567592	0.566599449693852	"False"	6.4295052400581	2.66876851290628	-9.88780896168202	8.90580191818523
"31"	"Parameters Random 1024 17_02_2021 10_58.txt"	"Random"	0.515208976000588	0.984964891763555	0.0257134558417803	"True"	4.98989422659029	5.67339925613804	-3.40417713608122	12.5099922954438
