"NestID";"Parasiet"
"1";24;1
"2";59;1
"3";74;1
"4";106;1
"5";120;1
"6";122;1
"7";127;1
"8";130;1
"9";140;1
"10";164;1
"11";167;1
"12";168;1
"13";176;1
"14";79;1
"16";182;1
"17";186;1
"18";196;1
"19";5;1
"20";66;1
"21";136;1
"23";187;1
"25";207;1
"26";210;1
"27";212;1
"28";217;1
"31";238;1
"32";271;1
"33";97;1
"34";146;1
"36";259;1
"37";280;1
"38";257;1
"39";260;1
"40";282;1
"41";287;1
"42";297;1
"43";340;1
"44";391;1
"45";364;1
"46";381;1
"47";383;1
"48";403;1
"49";409;1
"50";422;1
"51";411;1
"52";439;1
"53";267;1
"54";398;1
"55";410;1
"56";236;1
"57";467;1
"58";484;1
"59";462;1
"60";492;1
"61";469;1
"62";470;1
"63";496;1
"64";359;1
"65";501;1
"66";481;1
"67";506;1
"68";488;1
"69";513;1
"70";519;1
"71";400;1
"72";463;1
"73";539;1
"74";543;1
"75";542;1
"77";555;1
"78";559;1
"79";562;1
"80";565;1
"82";290;1
"83";604;1
"84";577;1
"85";582;1
"86";601;1
"87";621;1
"88";632;1
"89";612;1
"90";641;1
"91";624;1
"92";626;1
"93";640;1
"94";502;1
"97";608;1
"99";670;1
"100";654;1
"101";655;1
"102";675;1
"103";676;1
"104";535;1
"105";701;1
"106";711;1
"107";694;1
"108";696;1
"109";727;1
"110";707;1
"111";724;1
"112";725;1
"113";726;1
"114";729;1
"116";745;1
"117";747;1
"118";759;1
"119";744;1
"120";748;1
"121";749;1
"122";751;1
"123";753;1
"124";756;1
"125";569;1
"127";743;1
"130";771;1
"131";765;1
"132";793;1
"133";790;1
"134";808;1
"135";809;1
"136";815;1
"137";821;1
"138";831;1
"139";836;1
"140";841;1
"141";816;1
"142";865;1
"143";872;1
"144";769;1
"145";813;1
"147";824;1
"148";867;1
"149";876;1
"150";898;1
"151";893;1
"152";901;1
"153";904;1
"154";909;1
"155";811;1
"156";888;1
"157";919;1
"158";929;1
"159";936;1
"160";961;1
"161";964;1
"162";973;1
"163";986;1
"164";972;1
"165";990;1
"167";997;1
"168";1008;1
"169";1012;1
