"WespID";"NestID";"real_nest"
"1";"B84";78;1
"2";"B88";81;1
"3";"G3";92;1
"4";"B99";82;1
"5";"G10";130;1
"6";"G19";138;1
"7";"W35";168;1
"8";"W60";5;1
"9";"W46";183;1
"10";"W47";184;1
"11";"W50";187;1
"12";"W53";190;1
"13";"W29";191;1
"14";"W54";192;1
"15";"W55";193;1
"16";"W57";194;1
"17";"W56";195;1
"18";"W59";198;1
"19";"W61";199;1
"20";"B85";79;1
"21";"G22";180;1
"22";"W65";203;1
"23";"W66";204;1
"24";"W67";205;1
"25";"W69";207;1
"26";"B20";208;1
"27";"G28";211;1
"28";"W75";217;1
"29";"W49";186;1
"30";"W86";190;1
"31";"W93";223;1
"32";"W97";228;1
"33";"B53";247;1
"34";"Y14";248;1
"35";"W80";272;1
"36";"O7";146;1
"37";"W33";166;1
"38";"G29";212;1
"39";"W72";220;1
"40";"G38";252;1
"41";"Y17";259;1
"42";"Y27";283;1
"43";"G35";251;1
"44";"Y16";257;1
"45";"Y18";260;1
"46";"Y25";269;1
"47";"W79";208;1
"48";"G39";253;1
"49";"Y69";332;1
"50";"G23";286;1
"51";"Y74";339;1
"52";"Y52";313;1
"53";"Y57";316;1
"54";"Y58";317;1
"55";"Y56";318;1
"56";"Y64";327;1
"57";"Y73";338;1
"58";"G43";91;1
"59";"W94";225;1
"60";"B87";276;1
"61";"B30";355;1
"62";"Y81";360;1
"63";"W93";335;1
"64";"G15";343;1
"65";"W24";348;1
"66";"Y78";353;1
"67";"Y80";358;1
"68";"Y24";267;1
"69";"Y59";319;1
"70";"G30";236;1
"71";"G44";346;1
"72";"Y90";372;1
"73";"Y95";376;1
"74";"Y96";380;1
"75";"W92";391;1
"76";"Y85";364;1
"77";"Y91";373;1
"78";"Y94";378;1
"79";"Y97";381;1
"80";"Y98";383;1
"81";"Y99";384;1
"82";"Y0";385;1
"83";"D1";386;1
"84";"D2";387;1
"85";"D4";389;1
"86";"W89";390;1
"87";"D5";392;1
"88";"B93";102;1
"89";"Y47";304;1
"90";"W42";368;1
"91";"D16";409;1
"92";"D19";410;1
"93";"D24";415;1
"94";"W58";397;1
"95";"D18";407;1
"96";"D20";411;1
"97";"D21";413;1
"98";"D26";417;1
