"WespID";"Nest1";"Nest2";"startday1";"startday2"
"1";"B84";78;196;3;5
"2";"B84";196;968;5;29
"3";"B88";81;1011;3;30
"4";"G3";92;164;3;4
"5";"G3";164;287;4;9
"6";"W29";161;191;4;5
"7";"W54";192;801;5;23
"8";"W57";194;641;5;18
"9";"W61";199;365;5;11
"10";"W61";365;716;11;20
"11";"W66";204;746;6;21
"12";"W69";207;375;6;11
"13";"G28";211;723;6;20
"14";"W75";217;426;6;12
"15";"W49";186;579;5;17
"16";"W93";223;335;7;9
"17";"B53";247;872;7;25
"18";"Y17";259;756;8;21
"19";"Y16";257;964;8;29
"20";"Y69";332;913;9;27
"21";"G23";286;344;9;10
"22";"G43";91;855;10;24
"23";"G43";855;1006;24;30
"24";"W94";225;441;7;12
"25";"W94";441;745;12;21
"26";"B30";45;355;1;10
"27";"Y81";360;779;10;22
"28";"W24";156;348;4;10
"29";"G30";236;590;7;17
"30";"G30";590;833;17;23
"31";"G30";833;1012;23;30
"32";"G44";346;637;10;18
"33";"G44";637;1010;18;30
"34";"Y99";384;694;11;20
"35";"W89";390;522;11;14
"36";"D5";392;831;11;23
"37";"D5";831;1003;23;30
"38";"B93";102;724;3;20
"39";"B93";724;790;20;23
"40";"W42";176;368;4;11
"41";"W42";368;972;11;29
"42";"D18";407;490;12;13
"43";"D20";411;897;12;26
"44";"D64";467;733;13;20
"45";"D49";455;593;13;17
"46";"Y4";456;644;13;19
"47";"D74";482;865;13;25
"48";"D72";478;647;13;19
"49";"D72";647;910;19;26
"50";"Y75";340;359;9;14
"51";"G58";503;953;14;29
"52";"D7";506;890;14;26
"53";"D7";890;985;26;29
"54";"D96";516;889;14;26
"55";"G54";500;709;14;20
"56";"G54";709;838;20;24
"57";"B17";68;270;6;7
"58";"B17";270;519;7;14
"59";"B17";519;789;14;22
"60";"O18";524;961;14;29
"61";"O22";528;674;14;19
"62";"O22";674;730;19;20
"63";"W43";529;54;14;21
"64";"B37";540;868;15;25
"65";"Y43";303;555;9;15
"66";"O48";568;726;16;20
"67";"O50";573;884;16;26
"68";"O52";574;951;16;28
"69";"W98";429;787;12;22
"70";"W18";563;677;15;19
"71";"O54";577;744;17;21
"72";"O54";744;841;21;24
"73";"G32";608;1009;17;30
"74";"O62";589;896;17;26
"75";"B38";485;595;13;17
"76";"D10";402;605;12;17
"77";"D12";401;632;12;18
"78";"O67";610;691;18;20
"79";"Y26";280;612;8;18
"80";"O69";613;815;18;23
"81";"D11";403;620;12;18
"82";"D11";620;959;18;29
"83";"D11";959;994;29;30
"84";"O80";627;708;18;20
"85";"G57";502;917;14;27
"86";"G41";341;649;10;19
"87";"G41";649;717;19;20
"88";"O97";664;767;19;22
"89";"G51";449;673;12;19
"90";"G51";673;926;19;28
"91";"BR17";697;804;20;23
"92";"D99";707;858;20;24
"93";"BR10";683;799;20;23
"94";"BR14";693;811;20;23
"95";"D37";712;847;20;24
"96";"BR29";735;773;20;22
"97";"BR34";743;888;21;26
"98";"BR35";747;875;21;25
"99";"BR35";875;950;25;28
"100";"O73";618;737;18;21
"101";"BR33";742;814;21;23
"102";"BR37";749;808;21;23
"103";"O79";626;751;18;21
"104";"O1";569;941;16;28
"105";"B78";72;768;3;22
"106";"BR51";778;1016;22;30
"107";"O91";658;807;19;23
"108";"O43";560;859;15;24
"109";"O45";564;844;15;24
"110";"W96";566;867;15;25
"111";"G71";719;892;20;26
"112";"G79";791;677;23;26
"113";"D47";453;908;13;26
"114";"BR58";798;644;23;26
"115";"BR58";644;924;26;28
"116";"O92";659;974;19;29
"117";"W99";230;739;7;21
"118";"W99";739;990;21;30
"119";"B23";48;155;1;5
"120";"D41";438;988;12;29
"121";"D45";440;645;12;19
"122";"G16";136;395;4;12
"123";"G34";250;837;8;24
"124";"G34";837;874;24;25
"125";"G36";97;794;8;23
"126";"W91";222;810;7;23
"127";"W37";406;484;12;13
"128";"W37";484;596;13;17
"129";"G59";504;836;14;24
