"Timeframe";"DayCount";"Dagnummer";"Datum";"Beginuur";"Einduur";"Totaal aantal uren";"Aantal vangers";"Aantal records";"Aantal nieuw getagde";"Aantal nieuwe nesten";"Opmerkingen"
1;1;1;28/6/2016 00:00:00;30/12/1899 10:00:00;30/12/1899 15:30:00;"5.5";4;76;71;63;
1;2;2;29/6/2016 00:00:00;30/12/1899 10:30:00;30/12/1899 15:00:00;"4.5";1;7;5;7;
1;6;3;3/7/2016 00:00:00;30/12/1899 12:30:00;30/12/1899 17:30:00;"5";2;52;33;40;
1;7;4;4/7/2016 00:00:00;30/12/1899 11:00:00;30/12/1899 16:45:00;"5.75";3;80;63;67;
1;8;5;5/7/2016 00:00:00;30/12/1899 13:00:00;30/12/1899 16:30:00;"3.5";1;30;19;22;
1;9;6;6/7/2016 00:00:00;30/12/1899 10:00:00;30/12/1899 16:00:00;"6";1;52;20;21;
1;10;7;7/7/2016 00:00:00;30/12/1899 11:15:00;30/12/1899 16:15:00;"5";2;65;45;39;
1;12;8;9/7/2016 00:00:00;30/12/1899 11:45:00;30/12/1899 16:45:00;"5";1;41;25;26;
1;14;9;11/7/2016 00:00:00;30/12/1899 11:30:00;30/12/1899 17:10:00;"5.66";3;67;48;55;"Veel wind!"
1;15;10;12/7/2016 00:00:00;30/12/1899 14:00:00;30/12/1899 17:00:00;"3";1;50;13;21;
2;17;11;14/7/2016 00:00:00;30/12/1899 11:00:00;30/12/1899 16:00:00;"5";1;53;25;33;
2;18;12;15/7/2016 00:00:00;30/12/1899 10:30:00;30/12/1899 16:00:00;"5.5";3;110;44;57;
2;19;13;16/7/2016 00:00:00;30/12/1899 12:00:00;30/12/1899 16:50:00;"4.83";2;75;36;45;
2;20;14;17/7/2016 00:00:00;30/12/1899 11:00:00;30/12/1899 17:00:00;"6";2;66;28;36;
2;21;15;18/7/2016 00:00:00;30/12/1899 10:30:00;30/12/1899 16:45:00;"6.25";1;69;23;33;
2;22;16;19/7/2016 00:00:00;30/12/1899 10:00:00;30/12/1899 11:00:00;"1";1;17;7;10;"Daarna punten ingemeten met de trimbleGPS"
2;23;17;20/7/2016 00:00:00;30/12/1899 10:30:00;30/12/1899 16:00:00;"5.5";2;59;17;33;
2;24;18;21/7/2016 00:00:00;30/12/1899 09:30:00;30/12/1899 16:00:00;"6.5";1;58;22;34;
2;25;19;22/7/2016 00:00:00;30/12/1899 09:50:00;30/12/1899 15:00:00;"5.16";2;67;20;34;
2;28;20;25/7/2016 00:00:00;30/12/1899 10:30:00;30/12/1899 16:30:00;"6";2;92;31;59;
3;29;21;26/7/2016 00:00:00;30/12/1899 12:00:00;30/12/1899 16:00:00;"4";1;52;11;25;
3;31;22;28/7/2016 00:00:00;30/12/1899 11:00:00;30/12/1899 15:45:00;"4.75";2;58;16;28;
3;35;23;1/8/2016 00:00:00;30/12/1899 10:50:00;30/12/1899 15:30:00;"4.66";2;74;25;46;
3;38;24;4/8/2016 00:00:00;30/12/1899 11:00:00;30/12/1899 16:00:00;"5";1;66;12;26;"Geen mannetjes meer gezien"
3;39;25;5/8/2016 00:00:00;30/12/1899 11:00:00;30/12/1899 16:15:00;"5.25";1;55;8;21;
3;40;26;6/8/2016 00:00:00;30/12/1899 11:30:00;30/12/1899 16:15:00;"4.75";2;76;15;32;"mannetje gezien"
3;41;27;7/8/2016 00:00:00;30/12/1899 10:15:00;30/12/1899 14:00:00;"3.75";2;33;6;8;"veel bewolking, fris, veel wind,…"
3;46;28;12/8/2016 00:00:00;30/12/1899 11:30:00;30/12/1899 16:45:00;"5.25";1;59;15;31;
3;47;29;13/8/2016 00:00:00;30/12/1899 10:30:00;30/12/1899 16:40:00;"6.16";2;83;17;36;
3;49;30;15/8/2016 00:00:00;30/12/1899 10:00:00;30/12/1899 16:00:00;"6";3;68;14;29;"mannetje gezien"
