"";"NestID";"x";"y"
"1";1;23253.494;197867.228
"2";2;23245.619;197864.259
"3";3;23244.699;197866.332
"4";4;23255.352;197874.529
"5";5;23239.572;197870.415
"6";6;23243.348;197864.423
"7";7;23250.061;197866.869
"8";8;23248.72;197866.958
"9";9;23282.941;197875.959
"10";10;23282.997;197875.728
"11";11;23250.096;197866.919
"12";12;23250.547;197868.092
"13";13;23256.358;197867.049
"14";14;23255.779;197867.479
"15";15;23239.683;197868.569
"16";16;23238.186;197869.009
"17";17;23242.837;197864.061
"18";18;23257.832;197866.355
"19";19;23243.509;197864.401
"20";20;23265.126;197877.994
"21";21;23264.883;197878.066
"22";22;23244.368;197864.926
"23";23;23243.702;197867.891
"24";24;23255.462;197875.77
"25";25;23239.488;197869.128
"26";26;23253.85;197866.423
"27";27;23264.598;197877.116
"28";28;23264.592;197877.269
"29";29;23243.431;197864.018
"30";30;23242.517;197865.24
"31";31;23245.199;197864.332
"32";32;23243.149;197864.141
"33";33;23242.517;197868.45
"34";34;23242.781;197865.242
"35";35;23244.428;197863.437
"36";36;23238.369;197868.276
"37";37;23239.81;197868.764
"38";38;23241.91;197866.747
"39";39;23248.468;197864.81
"40";40;23264.698;197879.67
"41";41;23244.434;197864.55
"42";42;23243.187;197869.573
"43";43;23255.343;197866.777
"44";44;23255.752;197867.056
"45";45;23239.925;197868.603
"46";46;23268.355;197891.436
"47";47;23245.223;197865.867
"48";48;23244.491;197866.075
"49";49;23243.439;197862.902
"50";50;23245.067;197874.043
"51";51;23243.181;197865.292
"52";52;23241.189;197867.503
"53";53;23240.383;197867.188
"54";54;23239.201;197870.291
"55";55;23241.617;197863.963
"56";56;23241.638;197867.838
"57";57;23247.343;197864.621
"58";58;23245.563;197870.478
"59";59;23249.944;197869.106
"60";60;23266.801;197876.854
"61";61;23243.428;197866.435
"62";62;23238.903;197869.848
"63";63;23238.154;197870.689
"64";64;23239.757;197871.383
"65";65;23243.198;197864.51
"66";66;23240.862;197868.581
"67";67;23255.945;197866.135
"68";68;23246.979;197865.155
"69";69;23257.738;197861.977
"70";70;23264.211;197876.321
"71";71;23243.605;197868.18
"72";72;23279.721;197877.897
"73";73;23246.072;197864.456
"74";74;23272.577;197893.851
"75";75;23243.375;197863.162
"76";76;23278.4975;197876.1455
"77";77;23264.508;197876.092
"78";78;23271.853;197875.416
"79";79;23273.222;197874.383
"80";80;23276.316;197879.973
"81";81;23275.291;197882.198
"82";82;23275.365;197882.292
"83";83;23275.166;197882.603
"84";84;23245.434;197863.362
"85";85;23245.842;197864.05
"86";86;23243.394;197863.949
"87";87;23300.503;197887.467
"88";88;23303.266;197886.944
"89";89;23303.437;197888.013
"90";90;23315.469;197899.334
"91";91;23317.218;197899.732
"92";92;23320.243;197899.033
"93";93;23319.467;197894.27
"94";94;23303.691;197888.767
"95";95;23320.299;197899.236
"96";96;23319.205;197899.232
"97";97;23319.095;197899.897
"98";98;23314.16;197899.089
"99";99;23312.953;197898.95
"100";100;23255.002;197865.832
"101";101;23264.441;197880.552
"102";102;23275.189;197885.045
"103";103;23265.783;197880.951
"104";104;23264.957;197878.739
"105";105;23258.051;197893.519
"106";106;23265.288;197882.117
"107";107;23274.677;197883.631
"108";108;23258.114;197890.845
"109";109;23242.155;197863.619
"110";110;23250.859;197866.526
"111";111;23273.453;197875.135
"112";112;23258.139;197890.932
"113";113;23260.147;197893.101
"114";114;23242.925;197865.466
"115";115;23257.139;197866.315
"116";116;23248.719;197866.449
"117";117;23244.748;197866.397
"118";118;23248.201;197864.097
"119";119;23240.703;197868.393
"120";120;23246.77;197866.293
"121";121;23243.869;197864.047
"122";122;23246.083;197868.457
"123";123;23258.59;197864.319
"124";124;23242.665;197862.142
"125";125;23258.229;197864.412
"126";126;23278.383;197878.522
"127";127;23316.473;197899.827
