"RecordID";"Datum";"WespID";"NestID";"Prooi";"Prooisoort";"Parasiet";"Terug";"Toe";"Opmerkingen"
1;28/6/2016 00:00:00;"B6";1;0;;0;0;0;"vliegt niet goed"
2;28/6/2016 00:00:00;"B8";2;0;;0;1;0;
3;28/6/2016 00:00:00;"B9";3;0;;0;0;0;
4;28/6/2016 00:00:00;"B10";4;0;;0;0;0;
5;28/6/2016 00:00:00;"B20";5;0;;0;0;0;
6;28/6/2016 00:00:00;"B11";6;0;;0;0;0;"vliegt niet goed"
7;28/6/2016 00:00:00;"B15";7;0;;0;0;0;"Male"
8;28/6/2016 00:00:00;"B14";8;0;;0;0;0;
9;28/6/2016 00:00:00;"B18";9;0;;0;0;0;
10;28/6/2016 00:00:00;"B16";10;0;;0;0;0;
11;28/6/2016 00:00:00;"B17";11;0;;0;0;0;
12;28/6/2016 00:00:00;"B28";12;0;;0;0;0;
13;28/6/2016 00:00:00;"B19";13;0;;0;1;0;
14;28/6/2016 00:00:00;"B26";14;0;;0;0;0;
15;28/6/2016 00:00:00;"B56";15;0;;0;0;0;
16;28/6/2016 00:00:00;"B21";16;0;;0;0;0;
17;28/6/2016 00:00:00;"B29";17;0;;0;0;0;
18;28/6/2016 00:00:00;"B69";17;0;;0;0;0;
19;28/6/2016 00:00:00;"B18";20;0;;0;0;0;
20;28/6/2016 00:00:00;"B13";21;0;;0;0;0;
21;28/6/2016 00:00:00;"B31";22;0;;0;1;0;
22;28/6/2016 00:00:00;"B32";23;0;;0;1;0;
23;28/6/2016 00:00:00;"B12";24;0;;1;0;0;"vliegde niet goed, prooi uit nest gehaald"
24;28/6/2016 00:00:00;"B33";25;0;;0;0;0;
25;28/6/2016 00:00:00;"B35";26;0;;0;0;0;
26;28/6/2016 00:00:00;"B36";27;0;;0;1;0;
27;28/6/2016 00:00:00;"B13";28;0;;0;0;0;
28;28/6/2016 00:00:00;"B37";29;0;;0;0;0;
29;28/6/2016 00:00:00;"B39";29;0;;0;0;0;
30;28/6/2016 00:00:00;"B40";30;0;;0;0;0;
31;28/6/2016 00:00:00;"B53";31;0;;0;0;0;
32;28/6/2016 00:00:00;"B42";32;0;;0;0;0;
33;28/6/2016 00:00:00;"B41";33;0;;0;0;0;
34;28/6/2016 00:00:00;"B45";34;0;;0;0;0;
35;28/6/2016 00:00:00;"B49";35;0;;0;0;0;
36;28/6/2016 00:00:00;"B53";35;0;;0;0;0;
37;28/6/2016 00:00:00;"B47";36;0;;0;0;0;
38;28/6/2016 00:00:00;"B44";37;0;;0;0;0;
39;28/6/2016 00:00:00;"B43";38;0;;0;0;0;
40;28/6/2016 00:00:00;"B48";39;0;;0;0;0;
41;28/6/2016 00:00:00;"B52";40;0;;0;0;0;
42;28/6/2016 00:00:00;"B50";41;0;;0;0;0;
43;28/6/2016 00:00:00;"B51";42;0;;0;0;0;
44;28/6/2016 00:00:00;"B54";43;0;;0;0;0;
45;28/6/2016 00:00:00;"B55";44;0;;0;0;0;
46;28/6/2016 00:00:00;"B30";45;0;;0;1;0;
47;28/6/2016 00:00:00;"B57";46;0;;0;0;0;
48;28/6/2016 00:00:00;"B23";47;0;;0;0;0;
49;28/6/2016 00:00:00;"B23";48;0;;0;0;0;
50;28/6/2016 00:00:00;"B62";49;0;;0;0;0;
51;28/6/2016 00:00:00;"B58";50;0;;0;0;0;
52;28/6/2016 00:00:00;"B59";51;0;;0;0;0;
53;28/6/2016 00:00:00;"B34";52;0;;0;0;0;
54;28/6/2016 00:00:00;"B60";53;0;;0;0;0;
