"pf"	"scenario"	"node_ENV"	"node_LSF"	"node_CA"	"beh_excl"	"sigma_lsf"	"range_ca"	"param_mindens_ca"	"param_sigma_ca"
"1"	"Parameters Random 0 02_03_2021 10_11.txt"	"Random"	0.257151453738887	0.45635072799774	0.736627726815424	"False"	2.19905000688428	3.13260018338132	-4.7848000559541	2.94756330318765
"2"	"Parameters Random 1 02_03_2021 10_11.txt"	"Random"	0.379592911691458	0.657561549419001	0.0341373886287775	"False"	5.17354185183378	0.40959936404357	-7.82830515751162	12.2594071189344
"3"	"Parameters Random 2 02_03_2021 10_11.txt"	"Random"	0.744047354669943	0.418043048824833	0.928687874912454	"True"	8.69359007697335	1.11088322739819	-7.04710770156472	5.11657284087678
"4"	"Parameters Random 3 02_03_2021 10_11.txt"	"Random"	0.62568470870428	0.0181688869460402	0.253070639999062	"True"	6.12617886981968	4.99186985407095	-6.63296777795399	4.42661878797804
"5"	"Parameters Random 4 02_03_2021 10_11.txt"	"Random"	0.0882914085625843	0.336393693135756	0.300518160038536	"True"	5.10400634857548	3.81345456991722	-4.58944343013346	2.46427449081219
"6"	"Parameters Random 5 02_03_2021 10_11.txt"	"Random"	0.610970833880592	0.418756556695414	0.877333232148146	"False"	9.21914987310627	6.73030822287292	-7.98763434107495	10.7767341066375
"7"	"Parameters Random 6 02_03_2021 10_11.txt"	"Random"	0.441073007828423	0.714941454999688	0.830897705432461	"True"	5.93684120565749	3.54253848578564	-8.26140634631105	13.9223181003198
"8"	"Parameters Random 7 02_03_2021 10_11.txt"	"Random"	0.286170878353231	0.587255399770019	0.680456524042734	"True"	4.09918942556981	6.72881517598069	-7.34621472756268	6.829753998206
"9"	"Parameters Random 8 02_03_2021 10_11.txt"	"Random"	0.870955291842055	0.944602917111712	0.431521830969542	"True"	2.52768666138753	2.37329054521463	-7.60984683242695	9.1505097027714
"10"	"Parameters Random 9 02_03_2021 10_11.txt"	"Random"	0.890743662538213	0.222867184655975	0.480105877847828	"True"	0.582826403859723	4.07842306220268	-3.74479681560877	8.59954826985581
"11"	"Parameters UNIFORM 0 02_03_2021 10_11.txt"	"UNIFORM"	0.21412619016204	0.631503472301426	0.676991406676974	"True"	9.67749803571702	4.31301703362372	-4.59628202948431	6.96716992461711
"12"	"Parameters UNIFORM 1 02_03_2021 10_11.txt"	"UNIFORM"	0.923246444120712	0.306674068408377	0.177621793536873	"True"	7.95980474341803	4.5033160532514	-8.34249223345694	14.6876506420089
"13"	"Parameters UNIFORM 2 02_03_2021 10_11.txt"	"UNIFORM"	0.375450370566985	0.112525079924252	0.50739879731801	"True"	9.46516737649523	6.43526821280414	-8.49625571689302	8.11312069830751
"14"	"Parameters UNIFORM 3 02_03_2021 10_11.txt"	"UNIFORM"	0.889642517442129	0.173356831021972	0.620671160080511	"False"	6.85458977654959	4.82460655665015	-5.623030826957	2.0871230314484
"15"	"Parameters UNIFORM 4 02_03_2021 10_11.txt"	"UNIFORM"	0.149472333794991	0.491631531970584	0.00372270009322562	"False"	1.28324081523071	0.630936381911887	-3.82800203534881	7.23264443537339
"16"	"Parameters UNIFORM 5 02_03_2021 10_11.txt"	"UNIFORM"	0.538984223175178	0.254639774115006	0.735351143916622	"False"	7.54648722137882	0.374625688404084	-4.98901984205958	2.61845580862749
"17"	"Parameters UNIFORM 6 02_03_2021 10_11.txt"	"UNIFORM"	0.755505750327378	0.0958358897717584	0.25538399448603	"False"	6.76065793898668	4.97721790224132	-9.332021378366	4.85988574437842
"18"	"Parameters UNIFORM 7 02_03_2021 10_11.txt"	"UNIFORM"	0.190910692530012	0.72056459355539	0.714442624454526	"False"	8.28603878797735	4.50719200960159	-5.55066491834494	3.78219560917158
"19"	"Parameters UNIFORM 8 02_03_2021 10_11.txt"	"UNIFORM"	0.90777794964768	0.336827169554084	0.918439955475164	"False"	1.0482513763614	4.15193841106685	-8.36742025478771	13.6285707367096
"20"	"Parameters UNIFORM 9 02_03_2021 10_11.txt"	"UNIFORM"	0.908601109551923	0.257828391213941	0.908159835151005	"True"	4.32581794006458	3.12366853214896	-3.97224057789106	1.78491194319829
"21"	"Parameters FIXED 0 02_03_2021 10_11.txt"	"FIXED"	0.693220827037796	0.19688589885001	0.478119711886402	"False"	4.18325617984924	5.08075384983112	-6.04127780164676	6.67501776586424
"22"	"Parameters FIXED 1 02_03_2021 10_11.txt"	"FIXED"	0.756996143655718	0.622546135531827	0.705323612087826	"True"	7.97313719438155	5.5290915501376	-4.0426923210401	7.33470234201006
"23"	"Parameters FIXED 2 02_03_2021 10_11.txt"	"FIXED"	0.368701880667796	0.124463501176678	0.24653678821923	"True"	8.25017042122447	3.38449317073816	-9.97033800616951	3.10075910356593
"24"	"Parameters FIXED 3 02_03_2021 10_11.txt"	"FIXED"	0.797449684971966	0.699982079951909	0.439561417397037	"True"	2.57714075618776	0.733511465052198	-4.87671325008488	10.1876969603116
"25"	"Parameters FIXED 4 02_03_2021 10_12.txt"	"FIXED"	0.410778936319618	0.866589788990735	0.83041648937655	"False"	7.56080184554971	4.42033725171443	-7.38973848802538	0.109150664965077
"26"	"Parameters FIXED 5 02_03_2021 10_12.txt"	"FIXED"	0.546927825541417	0.608278632700503	0.674881901241115	"False"	4.24565330346527	4.68775471855216	-7.56279815792712	14.4676338159058
"27"	"Parameters FIXED 6 02_03_2021 10_12.txt"	"FIXED"	0.869398959543018	0.193294169576072	0.499471242682781	"True"	1.94152196373333	5.10663849708532	-5.83859490076016	6.48347386149463
"28"	"Parameters FIXED 7 02_03_2021 10_12.txt"	"FIXED"	0.733388662718201	0.422599740227442	0.968034298647463	"True"	2.49396477726957	5.87760585162143	-5.83727497641868	10.0979314873098
"29"	"Parameters FIXED 8 02_03_2021 10_12.txt"	"FIXED"	0.125078846970902	0.926168043479981	0.268247645669319	"True"	0.536901088240122	5.94068237973733	-7.92564361301309	11.1215867968682
"30"	"Parameters FIXED 9 02_03_2021 10_12.txt"	"FIXED"	0.894806453686238	0.96741070660323	0.982377794115411	"True"	4.80819200215588	6.15663190034172	-7.42602006598735	7.41572350137602
"31"	"Parameters FLEXIBLE 0 02_03_2021 10_12.txt"	"FLEXIBLE"	0.382976205652085	0.296251502032802	0.142205484295406	"False"	8.525257826882	6.94380103151005	-8.66251136597428	7.81899040303887
"32"	"Parameters FLEXIBLE 1 02_03_2021 10_12.txt"	"FLEXIBLE"	0.330319341872452	0.71040528288322	0.0216743461408462	"True"	7.04480004000411	4.02459783327173	-4.21839831251761	13.6772929408948
"33"	"Parameters FLEXIBLE 2 02_03_2021 10_13.txt"	"FLEXIBLE"	0.833011854254996	0.44622533744904	0.578490438930315	"False"	1.58415738463032	2.88495763923805	-3.6223516771104	1.51243794481705
"34"	"Parameters FLEXIBLE 3 02_03_2021 10_13.txt"	"FLEXIBLE"	0.686124864209296	0.729268999689936	0.0551371866672848	"True"	7.87359138546999	5.50317319977353	-9.07542664325564	11.5126747938594
"35"	"Parameters FLEXIBLE 4 02_03_2021 10_13.txt"	"FLEXIBLE"	0.0987288123407524	0.953806136302362	0.290484509434785	"True"	5.24279516323369	6.85199477192096	-6.8888562337302	6.84864500240959
"36"	"Parameters FLEXIBLE 5 02_03_2021 10_13.txt"	"FLEXIBLE"	0.434656370705285	0.918061743373867	0.468355159016647	"True"	1.69148777485606	4.77504798965699	-3.88041489788931	9.68944266851734
"37"	"Parameters FLEXIBLE 6 02_03_2021 10_13.txt"	"FLEXIBLE"	0.415406729012883	0.0912215676754061	0.399153556957869	"True"	8.45385155192321	2.61469176502682	-3.84369236042212	7.56333339374415
"38"	"Parameters FLEXIBLE 7 02_03_2021 10_13.txt"	"FLEXIBLE"	0.639961139923947	0.172046572901249	0.12234737278878	"False"	1.95749678898087	6.63064806043087	-8.63204039444548	10.2798133562504
"39"	"Parameters FLEXIBLE 8 02_03_2021 10_13.txt"	"FLEXIBLE"	0.10628802218023	0.180756679261814	0.242073203649008	"False"	7.73009975837162	2.61775174702907	-6.66078935887226	8.2043183703486
"40"	"Parameters FLEXIBLE 9 02_03_2021 10_13.txt"	"FLEXIBLE"	0.775298405496047	0.394750549039474	0.708669152455148	"True"	0.735185245763639	1.08480826138967	-9.64271714980999	7.97356482361155
