waspID	nest1	nest2	distance
Wasp2326474991552	Nest2326477257792	Nest2326477280544	0.7671295369252902
Wasp2326474991360	Nest2326477647392	Nest2326477466688	0.3737997619518429
Wasp2326474991360	Nest2326477466688	Nest2326477257360	0.3449966417013453
Wasp2326474992128	Nest2326477257408	Nest2326477280592	0.3809813816691894
Wasp2326474992224	Nest2326477283040	Nest2326477356384	0.7866036427871718
Wasp2326474992368	Nest2326477318080	Nest2326477353504	0.6462264818174901
Wasp2326474992656	Nest2326477318176	Nest2326477354896	0.5269850969013948
Wasp2326474992896	Nest2326477281696	Nest2326477318224	0.2094419037386503
Wasp2326474993136	Nest2326477319472	Nest2326477320144	0.38132524363528997
Wasp2326474993376	Nest2326477283280	Nest2326477317120	0.252675025100437
Wasp2326475051552	Nest2326477647488	Nest2326477465536	0.9653444596310055
Wasp2326475051888	Nest2326477465584	Nest2326477353648	22.584216161910728
Wasp2326475051984	Nest2326477647584	Nest2326477257984	0.8703885661749033
Wasp2326475051984	Nest2326477257984	Nest2326477279536	0.9139981844008812
Wasp2326475051984	Nest2326477279536	Nest2326477317168	0.3958564174106733
Wasp2326475052032	Nest2326477469104	Nest2326477469392	0.6045011998303674
Wasp2326475052080	Nest2326477464576	Nest2326477256352	0.43937008557225776
Wasp2326475052080	Nest2326477256352	Nest2326477353072	1.3463942585737019
Wasp2326475052176	Nest2326477257936	Nest2326477317216	0.6706277150321737
Wasp2326475052272	Nest2326477647632	Nest2326477317264	0.2998401206920979
Wasp2326475052320	Nest2326477470784	Nest2326477255008	42.26768379513205
Wasp2326475052368	Nest2326477470832	Nest2326477465632	0.7887107230014972
Wasp2326475052368	Nest2326477465632	Nest2326477256400	0.478588559615772
Wasp2326475052800	Nest2326477468384	Nest2326477258080	1.09608239787192
Wasp2326475052896	Nest2326477465680	Nest2326477255056	0.3169795199241048
Wasp2326475053232	Nest2326477465728	Nest2326477280784	0.5313700776512266
Wasp2326475053472	Nest2326477469152	Nest2326477466976	35.865171139309254
Wasp2326475053568	Nest2326477316160	Nest2326477353216	0.8790378234220355
Wasp2326475054144	Nest2326477282080	Nest2326477316208	0.5763573811818732
Wasp2326475054672	Nest2326477256496	Nest2326477317360	0.598521337089453
Wasp2326475054720	Nest2326477464768	Nest2326477255104	0.14655922850843503
Wasp2326475054960	Nest2326477280928	Nest2326477353744	0.6217202304173872
Wasp2326475055008	Nest2326477468480	Nest2326477465872	0.5844596953443062
Wasp2326475055008	Nest2326477465872	Nest2326477318464	0.09984278784076166
Wasp2326475055056	Nest2326477468528	Nest2326477465920	1.2086634060772494
Wasp2326475079840	Nest2326477470160	Nest2326477255200	0.17860139855615903
Wasp2326475081568	Nest2326477256544	Nest2326477258176	0.512360711892509
Wasp2326475082768	Nest2326477282176	Nest2326477353840	53.15213099600126
Wasp2326475081520	Nest2326477317456	Nest2326477356624	0.48560019309493746
Wasp2326475082960	Nest2326477471168	Nest2326477464144	25.96804277024165
Wasp2326475082960	Nest2326477464144	Nest2326477256688	28.755424371553698
Wasp2326475080080	Nest2326477647680	Nest2326477353168	3.793082619853113
Wasp2326475081664	Nest2326477464816	Nest2326477279728	0.8761141260507077
Wasp2326475082912	Nest2326477281024	Nest2326477353888	0.566071271801914
Wasp2326475083104	Nest2326477469584	Nest2326477316256	32.759314936810895
Wasp2326475083344	Nest2326477470208	Nest2326477256784	0.6675374678040055
Wasp2326475083344	Nest2326477256784	Nest2326477319664	0.896579428744961
Wasp2326475080272	Nest2326477318560	Nest2326477356720	0.515220296516383
Wasp2326475080368	Nest2326477353936	Nest2326477355088	0.22700573079826214
