waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326478427856	Nest2326478165520	66.83919467280963	7.090069591721457	23	False	False	True	
Wasp2326478427376	Nest2326477650576	28.92408344662833	9.704344176160047	6	True	True	True	
Wasp2326478426752	Nest2326474986016	27.31595794295928	10.161446325517925	19	False	False	True	
Wasp2326478426752	Nest2326478167440	32.31705419522969	3.725627354064085	25	False	False	True	
Wasp2326478427904	Nest2326474986304	20.369575126128197	31.998095491316914	19	True	True	True	
Wasp2326478427904	Nest2326478205952	70.32068451240322	10.775080431196624	27	True	True	True	
Wasp2326478426608	Nest2326477687632	11.206576187430189	39.24651789529586	11	True	True	True	
Wasp2326478426608	Nest2326477688208	8.15053826828553	31.7215748514192	14	True	True	True	
Wasp2326478426608	Nest2326474987408	38.961815559626736	12.956230527754757	20	True	True	True	
Wasp2326478427280	Nest2326475059888	32.70160644050396	20.973532745712273	15	True	True	False	
Wasp2326478429440	Nest2326475062816	10.277849639311807	24.853158180609583	18	False	False	True	
Wasp2326478429488	Nest2326477685616	12.541677178415096	33.0251531604626	9	False	False	True	
Wasp2326478426800	Nest2326477649904	66.93096591514788	11.435388163692835	5	True	True	True	
Wasp2326478427952	Nest2326475061952	31.532802626025145	16.71294292930061	17	False	False	True	
Wasp2326478426656	Nest2326475079840	53.98824857706973	4.448892358526225	12	False	False	True	
Wasp2326478428096	Nest2326475062960	60.037329166529155	8.786972261195523	18	False	False	True	
Wasp2326478428480	Nest2326478164416	55.009850603749236	16.230270360065994	22	False	False	True	
Wasp2326478428480	Nest2326478166864	42.36924866022393	7.590496867072731	24	False	False	True	
Wasp2326478429200	Nest2326478206384	38.82033271191024	26.958853697430076	28	True	True	True	
Wasp2326478429536	Nest2326474986208	19.81091130020992	8.813117744661684	19	False	False	False	
Wasp2326478428624	Nest2326477648512	51.003030289681185	32.438518669698794	3	True	True	False	
Wasp2326478429632	Nest2326477648848	45.583518224384804	34.8637216092382	4	False	False	False	
Wasp2326478429632	Nest2326477651200	38.46925784066041	33.78872327096263	7	False	False	False	
Wasp2326478428048	Nest2326474987264	28.23929200997165	3.9473277063351953	20	True	True	True	
Wasp2326478428048	Nest2326474988848	13.472195334248676	23.174350387598103	21	True	True	True	
Wasp2326478428048	Nest2326478166912	49.728089239166984	17.428233994665412	24	True	True	True	
Wasp2326478429728	Nest2326475063008	32.00658511343731	4.415394329485705	18	False	False	False	
Wasp2326478426704	Nest2326478206432	13.78261794072662	26.353357939492685	28	False	False	False	
Wasp2326478428528	Nest2326477651776	21.82458894238121	19.76079874221438	8	False	False	True	
Wasp2326478429776	Nest2326474988896	81.12170850475788	19.297627704195897	21	False	False	True	
Wasp2326478429680	Nest2326478164464	85.62333738117816	6.083727494267502	22	True	True	True	
Wasp2326478426848	Nest2326478205136	22.467978283068067	5.863438497670625	26	True	True	True	
Wasp2326478428720	Nest2326477648896	45.30228415202953	29.688930112758797	4	True	True	True	
Wasp2326478427520	Nest2326477648944	56.505570091409254	19.88574203529835	4	True	True	False	
Wasp2326478428768	Nest2326478206624	70.31144889524788	20.016279367228464	28	True	True	True	
Wasp2326478428768	Nest2326478208016	59.39346992888394	8.817274260962503	30	True	True	True	
Wasp2326478429584	Nest2326475062000	47.766088503188485	30.591410991423956	17	True	True	False	
Wasp2326478427472	Nest2326478166816	53.762710294344565	14.768474418620155	24	False	False	False	
Wasp2326478429824	Nest2326477651248	47.87986708982821	25.502641093173935	7	False	False	True	
Wasp2326478429824	Nest2326477686912	33.728346113126456	9.220081584252554	10	False	False	True	
Wasp2326478426896	Nest2326475081280	46.46268954992328	28.86255499821022	13	True	True	True	
Wasp2326478427424	Nest2326477688016	16.64933110089331	45.46052106661934	14	True	True	True	
Wasp2326478428816	Nest2326475081088	55.78671423932555	23.44723557370351	13	True	True	False	
Wasp2326478427568	Nest2326477688160	77.92847906335783	10.642617798052568	14	False	False	True	
Wasp2326478427568	Nest2326475062096	63.61282477748021	13.687384239933547	17	False	False	True	
Wasp2326478427568	Nest2326474987504	31.707858230785916	20.282138817744215	20	False	False	True	
Wasp2326478428912	Nest2326478207296	32.1759122866472	25.572008281425735	29	True	True	False	
Wasp2326478427040	Nest2326474988800	44.49268240693391	12.072725359214221	21	False	False	True	
Wasp2326478429872	Nest2326477651296	45.288586407787434	15.607166695218224	7	False	False	True	
Wasp2326478429872	Nest2326477687680	62.85751471131194	26.632641857269665	11	False	False	True	
Wasp2326478428672	Nest2326477649808	58.93225565357124	29.553807115732113	5	True	True	True	
Wasp2326478428144	Nest2326477651920	61.47101584397096	19.323949098546706	8	False	False	True	
Wasp2326478428144	Nest2326475081568	35.709169694780364	19.647896165350843	14	False	False	True	
Wasp2326478426944	Nest2326475082768	19.99163618750803	33.0586491174626	14	True	True	True	
Wasp2326478426944	Nest2326474988992	75.65295694295035	14.526199767742115	21	True	True	True	
Wasp2326478429920	Nest2326474987552	33.860936848720314	14.277898763049722	20	True	True	True	
Wasp2326478429920	Nest2326478205088	14.558961632969613	35.3174453502235	26	True	True	True	
Wasp2326478427088	Nest2326475081376	34.75288492101332	14.65760317102417	13	True	True	True	
Wasp2326478428000	Nest2326475079888	26.31921826623297	33.38758112441301	12	False	False	True	
Wasp2326478428960	Nest2326475061616	22.28760872637215	5.865467967067945	16	True	True	False	
Wasp2326478428960	Nest2326478166960	49.921427747502236	10.991905300349458	24	True	True	False	
Wasp2326478429008	Nest2326477685664	30.7714831223659	10.46618991668429	9	False	False	False	
Wasp2326478429008	Nest2326475081232	26.140613968731273	7.891909866087346	13	False	False	False	
Wasp2326478429008	Nest2326475061472	27.686587903455685	7.774718533253603	16	False	False	False	
Wasp2326478428240	Nest2326475059936	62.13218668385055	4.766965590395853	15	False	False	True	
Wasp2326478429104	Nest2326478164320	29.642305934408224	34.87534328737033	22	True	True	True	
Wasp2326478428864	Nest2326477648128	46.14162226994138	8.59762681730003	1	True	True	True	
Wasp2326478428288	Nest2326478207248	10.163234075057515	39.11801303761519	29	False	False	False	
Wasp2326477613952	Nest2326477686864	66.8768699472426	15.953868333639267	10	True	True	True	
Wasp2326477612368	Nest2326477650720	23.35669674575942	8.417414682642413	6	False	False	True	
Wasp2326477612368	Nest2326475060032	10.71718976392065	39.10131521513235	15	False	False	True	
Wasp2326477612368	Nest2326475061664	26.020611530834525	23.700829189824795	16	False	False	True	
Wasp2326477615056	Nest2326478205184	60.84510365892276	16.699016324995725	26	True	True	True	
Wasp2326477612656	Nest2326475060080	43.452297563228164	27.183713141831348	15	False	False	True	
