waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326480661472	Nest2326480325984	51.145274675365975	14.388626291298111	1	False	False	True	
Wasp2326480661520	Nest2326480305888	81.06307296445901	5.47935510874098	28	False	False	False	
Wasp2326477237936	Nest2326480142240	60.52893033261835	4.476242516802835	20	False	False	False	
Wasp2326480661424	Nest2326480225088	15.107682887920062	11.132174629903838	9	False	False	False	
Wasp2326480661376	Nest2326480138832	44.8380845437324	27.83244961034611	17	False	False	False	
Wasp2326480661184	Nest2326480140032	22.723666313436087	27.801727329917718	18	False	False	True	
Wasp2326480661328	Nest2326480147072	89.26879053269094	16.065358863381405	13	False	False	False	
Wasp2326480661568	Nest2326480207680	21.99597046732897	25.46468166240933	23	False	False	True	
Wasp2326480661616	Nest2326480148800	27.169848750411397	20.063516479865513	14	False	False	False	
Wasp2326480661664	Nest2326480150480	51.12179300703344	26.19348642865649	16	False	False	False	
Wasp2326480661664	Nest2326480205376	61.452077260254086	26.843601779844857	21	False	False	False	
Wasp2326480661712	Nest2326480226096	14.453001577644363	15.515159088360235	10	False	False	True	
Wasp2326480661760	Nest2326480147120	43.20179905627496	33.49672899081809	13	False	False	False	
Wasp2326480661760	Nest2326480206384	49.07406992404639	23.29570246943136	22	False	False	False	
Wasp2326480661808	Nest2326480138304	26.801087703692026	7.7463065252971255	16	False	False	True	
Wasp2326480661856	Nest2326480205424	75.78283971015867	9.561473617990414	21	False	False	False	
Wasp2326480661904	Nest2326480303488	14.420999229919179	40.622851298698244	24	False	False	True	
Wasp2326480661952	Nest2326480347584	36.37185195399914	16.004645025154236	4	False	False	False	
Wasp2326480661952	Nest2326480351184	40.770347555398246	8.940741547720688	8	False	False	True	
Wasp2326480662000	Nest2326480226144	24.34298633915929	29.201543791474663	10	False	False	False	
Wasp2326480662048	Nest2326480987232	27.03694938460728	34.91410606636914	30	False	False	False	
Wasp2326480662096	Nest2326480347632	29.917417115541824	34.62561749189127	4	False	False	False	
Wasp2326480662144	Nest2326480142288	23.488343025662402	32.71040690824859	20	False	False	False	
Wasp2326480662144	Nest2326480207728	52.2773765907953	11.1031432199359	23	False	False	False	
Wasp2326480662144	Nest2326480305504	53.84708362311691	7.679384865937926	27	False	False	False	
Wasp2326480662192	Nest2326480203840	59.15999611035359	8.244786215752063	20	False	False	False	
Wasp2326480662240	Nest2326480207776	24.139101151142228	13.731147150138066	23	False	False	True	
Wasp2326480662288	Nest2326480224320	72.51935486177885	17.736309621061324	8	False	False	True	
Wasp2326480662288	Nest2326480226816	64.21756648330289	16.665242280089576	11	False	False	False	
Wasp2326480662336	Nest2326480207824	27.98410294996723	17.181430380550474	23	False	False	False	
Wasp2326480662336	Nest2326480304688	25.48158592867769	21.660702207996042	26	False	False	False	
Wasp2326480662384	Nest2326480138352	29.686954377035047	14.794395582928138	16	False	False	False	
Wasp2326480662432	Nest2326480350368	58.26914081726073	26.61347256817934	7	False	False	False	
Wasp2326480662480	Nest2326480149568	84.53984374832329	10.909404833250786	15	False	False	False	
Wasp2326480662480	Nest2326480138400	84.0772553057727	8.819317792025126	16	False	False	True	
Wasp2326480732224	Nest2326480205472	17.812835102094134	20.28918750225667	21	False	False	False	
Wasp2326480732272	Nest2326480348928	30.786645060911784	37.14451033630271	5	False	False	False	
Wasp2326480732320	Nest2326480304736	30.976806834029368	2.0503697750229324	26	False	False	False	
Wasp2326480732368	Nest2326480326032	59.77742202650836	13.747026263538984	1	False	False	False	
Wasp2326480732416	Nest2326480303536	28.658003618207076	24.95776992335164	24	True	True	False	
Wasp2326480732464	Nest2326480140944	75.70462630552545	22.967605249709838	19	False	False	False	
Wasp2326480732512	Nest2326480147168	24.832150474075817	27.892806713842372	13	False	False	True	
Wasp2326480732560	Nest2326480148848	7.816172309971687	31.86136720023562	14	False	False	True	
Wasp2326480732560	Nest2326480203888	8.34050535377339	24.22406191211549	20	False	False	False	
Wasp2326480732608	Nest2326480140080	34.8821781411988	29.99453979952108	18	False	False	False	
Wasp2326480732656	Nest2326480226864	7.332136262576694	25.223555441897744	11	False	False	False	
Wasp2326480732704	Nest2326480302144	26.622843275605554	29.176054250840235	23	False	False	False	
Wasp2326480732704	Nest2326480304784	30.097576607363212	23.515857431176034	26	False	False	False	
Wasp2326480732704	Nest2326480305936	44.72133059944978	16.190870946498574	28	False	False	False	
Wasp2326480732752	Nest2326480302192	22.37912910126655	14.560261368161663	23	False	False	False	
Wasp2326480732800	Nest2326480348976	91.99724131028023	15.786034482312644	5	False	False	False	
Wasp2326480732848	Nest2326480303584	23.277989340458667	20.666805565000143	24	False	False	False	
Wasp2326480732896	Nest2326480148896	19.253163140088333	29.20478810633606	14	False	False	True	
Wasp2326480732944	Nest2326480349888	19.04390652451478	7.417534185027944	6	False	False	False	
Wasp2326480732944	Nest2326480350416	25.740052622955155	1.57378911877338	7	False	False	False	
Wasp2326480732992	Nest2326480304832	69.16125535331176	21.388851735285108	26	True	True	False	
Wasp2326480733040	Nest2326480147216	11.780450878831852	26.218510492748646	13	False	False	False	
Wasp2326480733088	Nest2326480305984	63.24215125423144	19.68263586646441	28	False	False	True	
Wasp2326480733136	Nest2326480140992	56.7930307873138	18.53559518721875	19	False	False	True	
Wasp2326480733184	Nest2326480225136	84.39688312887282	1.658137544810009	9	False	False	False	
Wasp2326480733232	Nest2326480349024	80.74143118715921	18.042221692101986	5	False	False	False	
Wasp2326480733232	Nest2326480227728	79.58823702490878	14.862359384742449	12	False	False	False	
Wasp2326480733280	Nest2326480350464	67.90081654502009	7.5538506071302125	7	False	False	False	
Wasp2326480733280	Nest2326480147264	67.23941905370056	5.5878192750235405	13	False	False	False	
Wasp2326480733280	Nest2326480140128	18.32179092361772	19.606110594790906	18	False	False	False	
Wasp2326480733328	Nest2326480226912	40.44694296822961	35.86017325037293	11	False	False	False	
Wasp2326480733376	Nest2326480226192	23.055793247537895	21.341539405020523	10	False	False	False	
