waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326480671120	Nest2326478754576	13.347669670751287	29.329990630612787	20	None	None	None	
Wasp2326478847520	Nest2326478676800	76.55978812195643	8.367388894852322	23	None	None	None	
Wasp2326478847568	Nest2326478581328	42.02244093489452	25.8455216327914	12	None	None	None	
Wasp2326478847616	Nest2326478756160	60.28900176704337	8.607355531148619	21	None	None	None	
Wasp2326480671312	Nest2326478560320	54.9770713368235	22.51689638898368	6	None	None	None	
Wasp2326480671264	Nest2326478744928	5.614831230591303	28.789871107140474	15	None	None	None	
Wasp2326480671264	Nest2326478676848	57.82794829597456	18.213751956172366	23	None	None	None	
Wasp2326478847664	Nest2326478560848	33.94130613886004	20.373762188208186	7	None	None	None	
Wasp2326478847664	Nest2326478581376	10.151610193534692	15.506804766573497	12	None	None	None	
Wasp2326478847664	Nest2326478678432	13.638636700822222	21.182710784459108	24	None	None	None	
Wasp2326482141248	Nest2326478742096	66.60743637972504	24.32720207474071	13	None	None	None	
Wasp2326482141248	Nest2326478744976	58.49872972909519	16.342044348384086	15	None	None	None	
Wasp2326482141248	Nest2326478530496	55.85399280429392	28.96332765727949	29	None	None	None	
Wasp2326478847712	Nest2326478754624	13.227332103519913	28.72995331364582	20	None	None	None	
Wasp2326478847760	Nest2326478777936	33.512702643242214	17.636005696597568	19	None	None	None	
Wasp2326478847760	Nest2326478679152	7.584085342406903	24.73602369014165	25	None	None	None	
Wasp2326478847808	Nest2326478580368	7.2055671707152085	35.37300378887549	11	None	None	None	
Wasp2326478847856	Nest2326478745024	32.75527428799384	24.073170538357424	15	None	None	None	
Wasp2326478847904	Nest2326478529392	0.35042503091827926	23.608883421130603	28	None	None	None	
Wasp2326478847952	Nest2326478776592	37.898273105049434	15.775418859312804	18	None	None	None	
Wasp2326478868544	Nest2326478558400	57.480728522797726	26.712843631968692	4	None	None	None	
Wasp2326478868592	Nest2326478558448	17.174206315875686	21.67723807956893	4	None	None	None	
Wasp2326478868592	Nest2326478560896	75.35144501492972	11.226334247023408	7	None	None	None	
Wasp2326478868592	Nest2326478742144	35.32872705160719	37.87708278105753	13	None	None	None	
Wasp2326478868640	Nest2326478578544	4.375375579255993	31.060069504587464	9	None	None	None	
Wasp2326478868688	Nest2326478775392	38.67330938923967	16.95816877327573	17	None	None	None	
Wasp2326478868736	Nest2326478754672	14.397355064412036	11.758542572481181	20	None	None	None	
Wasp2326478868784	Nest2326478580416	32.34766081702836	22.750400298377155	11	None	None	None	
Wasp2326478868832	Nest2326478754720	28.36771716082482	31.342919704610427	20	None	None	None	
Wasp2326478868880	Nest2326478557968	88.18151572704438	15.632051256687234	3	None	None	None	
Wasp2326478868928	Nest2326478754768	33.66011855326727	5.27391998769023	20	None	None	None	
Wasp2326478868976	Nest2326478756208	36.22241357025858	30.511415699706024	21	None	None	None	
Wasp2326478869024	Nest2326478754816	38.68085765899311	20.837673434856423	20	None	None	None	
Wasp2326478869024	Nest2326478679776	26.873571698860726	8.16711363293697	26	None	None	None	
Wasp2326478869072	Nest2326478578592	47.68361304019253	25.36000253488381	9	None	None	None	
Wasp2326478869120	Nest2326478581424	72.87296085792603	19.03775157056536	12	None	None	None	
Wasp2326478869168	Nest2326478777984	48.97045481301443	6.954073685777236	19	None	None	None	
Wasp2326478869216	Nest2326478757504	76.17846220354885	14.378568588324171	22	None	None	None	
Wasp2326478869264	Nest2326478754864	28.476976002319383	35.14142271719002	20	None	None	None	
Wasp2326478869264	Nest2326478679824	14.840316233305915	39.39326999339922	26	None	None	None	
Wasp2326478869312	Nest2326478743872	57.49928299006737	11.99044376816051	14	None	None	None	
Wasp2326478869312	Nest2326478775440	31.704149785836538	31.238196086456256	17	None	None	None	
Wasp2326478869360	Nest2326478745072	9.19769461602196	15.855399957106412	15	None	None	None	
Wasp2326478869408	Nest2326476058576	34.45778880518429	37.71177341991611	1	None	None	None	
Wasp2326478869456	Nest2326478743920	32.18305779793408	35.3693736106779	14	None	None	None	
Wasp2326478869504	Nest2326478558496	34.25229510087769	39.20930372848249	4	None	None	None	
Wasp2326478869552	Nest2326478754912	20.41196428473605	12.68497637713099	20	None	None	None	
Wasp2326478869552	Nest2326478757552	74.08824843552988	18.911918790814504	22	None	None	None	
Wasp2326478869600	Nest2326478776640	80.19495473359574	18.715175680617158	18	None	None	None	
Wasp2326478869648	Nest2326478581472	69.72975047634304	24.285206382653605	12	None	None	None	
Wasp2326478869696	Nest2326478560368	60.6006247825282	29.946474680502075	6	None	None	None	
Wasp2326478869744	Nest2326478679200	59.21098840460281	12.501589260907226	25	None	None	None	
Wasp2326478869792	Nest2326478742192	67.79342145389317	7.235242929040773	13	None	None	None	
Wasp2326478869792	Nest2326478757600	40.90498539108428	7.836732175163977	22	None	None	None	
Wasp2326478869840	Nest2326478742240	60.03121205434017	24.614742209659692	13	None	None	None	
Wasp2326478869840	Nest2326478679248	36.55081176201933	8.761149907649573	25	None	None	None	
Wasp2326478869888	Nest2326478578640	5.973296692090802	25.428595344164084	9	None	None	None	
Wasp2326478869936	Nest2326478578688	1.940320526126985	23.021178933053672	9	None	None	None	
Wasp2326478869984	Nest2326478774864	25.5908771550588	23.17847682741835	16	None	None	None	
Wasp2326478870032	Nest2326478756256	91.1281480452863	13.000945471158404	21	None	None	None	
Wasp2326478870080	Nest2326478529440	66.41641344765037	26.319103158912846	28	None	None	None	
Wasp2326478870128	Nest2326478560944	19.746414115686573	43.31006494518872	7	None	None	None	
Wasp2326478870176	Nest2326478579600	64.5467420741444	14.167481332163778	10	None	None	None	
Wasp2326478870224	Nest2326478756304	48.96758019819902	18.627410073813827	21	None	None	None	
Wasp2326478870272	Nest2326478560416	13.952272238527492	18.421256816009876	6	None	None	None	
Wasp2326478870272	Nest2326478578064	70.02275943803323	18.502786816023324	8	None	None	None	
Wasp2326478870320	Nest2326478775488	67.09361786052693	25.390473051838548	17	None	None	None	
Wasp2326478870368	Nest2326478559504	72.22819676102719	11.763325839220757	5	None	None	None	
Wasp2326478870368	Nest2326478775536	38.05361406733783	25.727791085317687	17	None	None	None	
Wasp2326478870416	Nest2326478679296	32.2499505157218	33.7664612255099	25	None	None	None	
Wasp2326478870464	Nest2326478676896	71.00346219164004	18.944929779073973	23	None	None	None	
Wasp2326478870512	Nest2326478775584	17.352832582889917	26.132822502965144	17	None	None	None	
Wasp2326478870560	Nest2326478775632	68.15838015883	20.24139870771194	17	None	None	None	
Wasp2326478870560	Nest2326478679872	7.374012408422127	36.51773018661648	26	None	None	None	
Wasp2326478870608	Nest2326478676944	47.86823489114615	32.92962667542647	23	None	None	None	
Wasp2326478870656	Nest2326478754960	92.58098380554928	17.313590335384742	20	None	None	None	
Wasp2326478870704	Nest2326478776688	37.23325051824493	27.45656677985766	18	None	None	None	
