waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326477212784	Nest2326477369200	64.21913428111716	17.90796326844183	3	True	True	False	
Wasp2326477212832	Nest2326477409104	56.35593966739526	29.421524989839934	7	True	True	False	
Wasp2326477212880	Nest2326477209760	35.49820946761423	26.496775706790135	18	True	True	False	
Wasp2326477212928	Nest2326477754816	14.736635088701341	36.16277570315638	23	True	True	False	
Wasp2326477212976	Nest2326477435760	8.042822326281703	33.58895257336301	9	True	True	False	
Wasp2326477212976	Nest2326477465248	52.02832379210249	31.49978488078641	13	True	True	False	
Wasp2326477213024	Nest2326477210720	24.86224033182909	36.56827755249242	18	True	True	False	
Wasp2326477213072	Nest2326477210768	48.94811272951902	11.326333068990905	18	True	True	False	
Wasp2326477213120	Nest2326477435808	13.923840086394693	36.83029109193808	9	True	True	False	
Wasp2326477213120	Nest2326477211776	43.653674105404306	19.79013469864409	18	True	True	False	
Wasp2326477213168	Nest2326477368816	17.67532485227601	35.5881259102735	1	True	True	False	
Wasp2326477213168	Nest2326476467264	51.157925185214644	7.540775712089854	22	True	True	False	
Wasp2326476467744	Nest2326477210816	36.52665452225298	11.103750425340339	18	True	True	False	
Wasp2326477212736	Nest2326476464864	17.546011595533162	34.72672558581689	20	True	True	False	
Wasp2326477212688	Nest2326477406752	60.862236271350646	23.660602245438664	4	True	True	False	
Wasp2326477212592	Nest2326476467312	47.50582856028724	9.445749520952143	22	True	True	False	
Wasp2326477212640	Nest2326477212160	16.566394130148204	33.480057444708166	17	True	True	False	
Wasp2326477213216	Nest2326477465296	37.528505579701786	11.094513838996502	13	True	True	False	
Wasp2326477213264	Nest2326477410016	28.84416454633711	26.728119616566243	8	True	True	False	
Wasp2326477213312	Nest2326477771056	54.8265896798431	12.046954807319606	28	True	True	False	
Wasp2326477213360	Nest2326476467360	32.26340018534869	12.990528835468723	22	True	True	False	
Wasp2326477213408	Nest2326477756976	51.87941615108061	10.97447679557446	25	True	True	False	
Wasp2326477213456	Nest2326477438160	33.74560986467485	24.707022566594258	11	True	True	False	
Wasp2326477213504	Nest2326477757024	30.099270195805037	12.062656722107283	25	True	True	False	
Wasp2326477213552	Nest2326477409152	47.53747174767174	11.101871930887148	7	True	True	False	
Wasp2326477213600	Nest2326477410064	67.98716109074229	18.7440257067944	8	True	True	False	
Wasp2326477213600	Nest2326477435856	51.258598085521626	11.142495339444919	9	True	True	False	
Wasp2326477213648	Nest2326477409200	40.95873249668697	23.410244694290242	7	True	True	False	
Wasp2326477213648	Nest2326477410112	19.646579270397098	35.26620405720268	8	True	True	False	
Wasp2326477238336	Nest2326476464912	35.70010224287739	20.564783072314043	20	True	True	False	
Wasp2326477238384	Nest2326477756208	37.667748680984715	24.709337169336358	24	True	True	False	
Wasp2326477238432	Nest2326477754864	33.94215164609671	11.028473946874934	23	True	True	False	
Wasp2326477238480	Nest2326477437392	13.37026968765557	37.144825223012475	10	True	True	False	
Wasp2326477238528	Nest2326477409248	18.947648837751576	35.995764631869854	7	True	True	False	
Wasp2326477238576	Nest2326477465344	44.596051130954905	21.174322577844194	13	True	True	False	
Wasp2326477238624	Nest2326477407952	47.1367302884928	9.455451346108646	5	True	True	False	
