waspID	nest1	nest2	distance
Wasp2326481050160	Nest2326481241664	Nest2326481306144	20.18486236014622
Wasp2326481050160	Nest2326481306144	Nest2326480232608	30.35717307290602
Wasp2326481050736	Nest2326481210576	Nest2326481243584	67.68814552847005
Wasp2326481050736	Nest2326481243584	Nest2326481307632	66.89735638352573
Wasp2326481050736	Nest2326481307632	Nest2326480162336	34.43584794257508
Wasp2326481051168	Nest2326480162384	Nest2326480234192	0.10820310385371561
Wasp2326481051216	Nest2326481307824	Nest2326481047952	22.448045463836724
Wasp2326481051360	Nest2326481242144	Nest2326481243536	28.271717812681615
Wasp2326481051504	Nest2326481306432	Nest2326481307872	32.86413882541027
Wasp2326481051552	Nest2326481242432	Nest2326481278816	35.28816402412468
Wasp2326481051600	Nest2326481277472	Nest2326481278960	10.716295881463955
Wasp2326481080528	Nest2326481277376	Nest2326481307680	27.487912412560323
Wasp2326481080816	Nest2326481048816	Nest2326480232656	39.59544262867776
Wasp2326481081008	Nest2326481306336	Nest2326481335872	0.9776775179035637
Wasp2326481081344	Nest2326481338128	Nest2326480233280	22.179153519814435
Wasp2326481081584	Nest2326481211056	Nest2326481241760	1.9770702280879615
Wasp2326481082064	Nest2326481308112	Nest2326480162528	18.802840873316644
Wasp2326481082064	Nest2326480162528	Nest2326481338224	47.822200904245264
Wasp2326481082304	Nest2326481210816	Nest2326481277520	20.14412184666533
Wasp2326481082304	Nest2326481277520	Nest2326481048288	11.509542628315888
Wasp2326481082496	Nest2326481280304	Nest2326481334432	35.25267696926218
Wasp2326481082496	Nest2326481334432	Nest2326481335920	19.95083219718548
Wasp2326481082496	Nest2326481335920	Nest2326480830224	22.693160758382433
Wasp2326481082736	Nest2326481242624	Nest2326481243632	27.03914207160521
Wasp2326481082736	Nest2326481243632	Nest2326481334672	10.547098510672917
Wasp2326481082736	Nest2326481334672	Nest2326480162480	39.95475658106042
Wasp2326481082784	Nest2326481277616	Nest2326480827680	18.937886571582172
Wasp2326481082784	Nest2326480827680	Nest2326480232560	28.606669031343348
Wasp2326481083120	Nest2326481047664	Nest2326480828640	35.43588833080388
Wasp2326481083168	Nest2326481336016	Nest2326481336736	27.06655474847505
Wasp2326481083792	Nest2326481280448	Nest2326481306624	44.44736781863928
Wasp2326481083792	Nest2326481306624	Nest2326480233472	7.240848927833632
Wasp2326481083888	Nest2326481337504	Nest2326480232704	2.827942690222508
Wasp2326481109104	Nest2326481240128	Nest2326481242672	29.357546857445044
Wasp2326481109200	Nest2326481306576	Nest2326481337408	18.606846822155624
Wasp2326481109296	Nest2326481336160	Nest2326480162672	7.134430217986243
Wasp2326481109536	Nest2326481240176	Nest2326481279920	47.692063597412606
Wasp2326481109728	Nest2326481277856	Nest2326481308160	27.188817252072656
Wasp2326481109728	Nest2326481308160	Nest2326480828880	27.748247675604325
Wasp2326481109776	Nest2326481210864	Nest2326481242816	30.789551293815208
Wasp2326481110160	Nest2326481280544	Nest2326481335488	23.724533921032595
Wasp2326481110160	Nest2326481335488	Nest2326480827872	41.79440296603193
Wasp2326481110208	Nest2326480828784	Nest2326480232896	14.852284171944396
Wasp2326481110256	Nest2326481242720	Nest2326481306816	18.725271410211498
Wasp2326481110544	Nest2326481308256	Nest2326480826864	43.57896979203852
Wasp2326481110736	Nest2326481279248	Nest2326480828976	11.675828375498153
Wasp2326481111168	Nest2326480162576	Nest2326480827776	30.182298153879486
Wasp2326481111168	Nest2326480827776	Nest2326480233760	15.103426059671825
Wasp2326481111264	Nest2326481334912	Nest2326480827968	23.575321160170756
Wasp2326481111264	Nest2326480827968	Nest2326481337696	36.938061454875175
Wasp2326481111264	Nest2326481337696	Nest2326481338272	51.365069806153976
Wasp2326481111456	Nest2326481242768	Nest2326481243872	30.321971738855908
Wasp2326481111456	Nest2326481243872	Nest2326481280496	43.895871998369344
Wasp2326481111504	Nest2326481242864	Nest2326480826768	3.18192239369828
Wasp2326481111504	Nest2326480826768	Nest2326480829840	31.376472503182715
Wasp2326481111888	Nest2326481308448	Nest2326480232944	33.85370259532231
Wasp2326481112224	Nest2326481308544	Nest2326480233664	35.67312087388395
Wasp2326481112320	Nest2326481280688	Nest2326481334960	33.10939220259847
Wasp2326481112368	Nest2326481280736	Nest2326481335440	0.567815284934912
Wasp2326481112608	Nest2326481242912	Nest2326480828928	5.368838402724102
Wasp2326481112752	Nest2326481241904	Nest2326481279200	29.146941492204316
Wasp2326481112944	Nest2326481308640	Nest2326481334816	24.45739220940928
Wasp2326481112944	Nest2326481334816	Nest2326481336112	18.170899278314486
Wasp2326481112992	Nest2326480830080	Nest2326480234048	38.48865722410766
Wasp2326481138064	Nest2326481280832	Nest2326481335104	47.046118199351746
Wasp2326481138112	Nest2326481240992	Nest2326481336304	17.65760093267673
Wasp2326481138112	Nest2326481336304	Nest2326481338176	46.99444443284536
Wasp2326481138640	Nest2326481335056	Nest2326481335584	29.907822971090585
Wasp2326481138640	Nest2326481335584	Nest2326481049440	30.452135787998614
Wasp2326481138928	Nest2326481307296	Nest2326480162096	9.201167086884285
Wasp2326481139168	Nest2326481307248	Nest2326481308736	43.173331128798864
Wasp2326481139168	Nest2326481308736	Nest2326480234480	45.44513236937423
Wasp2326481139408	Nest2326481049296	Nest2326481337120	12.735387451481985
Wasp2326481139552	Nest2326481335200	Nest2326481308688	1.0387490509191724
Wasp2326481139696	Nest2326481241088	Nest2326481309072	0.1790258649145617
Wasp2326481139984	Nest2326481048000	Nest2326481049152	11.46306371071088
Wasp2326481140368	Nest2326480829072	Nest2326480830128	25.43199642631902
Wasp2326481140368	Nest2326480830128	Nest2326481337936	17.672729141387688
Wasp2326481140464	Nest2326481049344	Nest2326481337984	29.64561112870638
Wasp2326481140608	Nest2326481244112	Nest2326481280976	11.52518675120497
Wasp2326481140992	Nest2326480829216	Nest2326481337168	25.032852807092414
Wasp2326481141088	Nest2326481309168	Nest2326480827056	19.258754421434922
Wasp2326481141088	Nest2326480827056	Nest2326480234432	24.53879309099152
Wasp2326481141136	Nest2326481242000	Nest2326481279440	13.240770751383788
Wasp2326481141328	Nest2326481336496	Nest2326480233088	16.82545960148531
Wasp2326481141376	Nest2326481307344	Nest2326480233040	39.63097584056191
Wasp2326481141568	Nest2326481278384	Nest2326481308928	31.794176424397726
Wasp2326481141616	Nest2326481305664	Nest2326480162048	37.99822878269087
Wasp2326481174736	Nest2326481336976	Nest2326480234528	18.454727883012836
Wasp2326481174784	Nest2326481240416	Nest2326481244016	25.95960566559519
Wasp2326481174880	Nest2326481243104	Nest2326481335680	21.073959019042523
Wasp2326481175024	Nest2326481049104	Nest2326480234384	20.60776632013773
Wasp2326481175360	Nest2326481336544	Nest2326480234624	7.786402251499914
Wasp2326481175456	Nest2326481336208	Nest2326480829264	31.85397893094541
Wasp2326481175552	Nest2326481336448	Nest2326481337600	24.414070636201686
Wasp2326481175696	Nest2326481280064	Nest2326481309216	23.127556235038895
Wasp2326481175696	Nest2326481309216	Nest2326481336400	23.478765163112257
Wasp2326481175888	Nest2326480829456	Nest2326481338320	17.03271670589033
Wasp2326481175936	Nest2326480828016	Nest2326481336688	60.51261252669007
Wasp2326481176368	Nest2326480827152	Nest2326481337312	21.733904441677126
Wasp2326481176608	Nest2326481210528	Nest2326481243248	47.71643269964538
Wasp2326481176656	Nest2326481335296	Nest2326481048192	34.01820180617896
Wasp2326481176656	Nest2326481048192	Nest2326480233136	46.19422454463205
Wasp2326481176848	Nest2326481240464	Nest2326481241280	32.43050555114225
Wasp2326481177040	Nest2326481243296	Nest2326481276992	22.748228000248954
Wasp2326481177664	Nest2326481049872	Nest2326480828160	76.11234742050618
Wasp2326481177904	Nest2326481242192	Nest2326481307488	27.86357556749121
Wasp2326481207408	Nest2326481240704	Nest2326480827248	0.6104473656730757
Wasp2326481207744	Nest2326481278336	Nest2326480827344	21.10870394655587
Wasp2326481207792	Nest2326480161952	Nest2326480829648	9.708144879473842
Wasp2326481208128	Nest2326481335392	Nest2326480830272	32.490159247144874
Wasp2326481208128	Nest2326480830272	Nest2326480828112	34.23804938026532
Wasp2326481208176	Nest2326481305952	Nest2326481335632	10.870475120168036
Wasp2326481208224	Nest2326480830320	Nest2326481337840	43.70118168812246
Wasp2326481208272	Nest2326481210624	Nest2326481279584	24.864471934207707
Wasp2326481208272	Nest2326481279584	Nest2326480830416	17.248061742630153
Wasp2326481208608	Nest2326481047856	Nest2326480827296	20.17084021649725
Wasp2326481209184	Nest2326481278768	Nest2326481047760	32.709476092848895
Wasp2326481209952	Nest2326481241616	Nest2326480828400	0.6115302498196159
Wasp2326481210048	Nest2326481277184	Nest2326481334336	13.747866559266171
Wasp2326481210096	Nest2326480828304	Nest2326481336784	28.17449091558523
Wasp2326481210096	Nest2326481336784	Nest2326480232512	24.38886745636416
