waspID	nest1	nest2	distance
Wasp2326475183584	Nest2326475147344	Nest2326475659536	25.741976154735788
Wasp2326475183584	Nest2326475659536	Nest2326475827856	30.127821734073727
Wasp2326475183584	Nest2326475827856	Nest2326475819280	32.37796977106281
Wasp2326475183632	Nest2326475658192	Nest2326475818464	13.477793126878858
Wasp2326475184016	Nest2326475148592	Nest2326475709504	36.76500912894687
Wasp2326475184064	Nest2326475148736	Nest2326475708064	30.399794689051593
Wasp2326475184064	Nest2326475708064	Nest2326475822032	56.29481827807471
Wasp2326475184064	Nest2326475822032	Nest2326475824816	52.76822375509497
Wasp2326475184352	Nest2326475824768	Nest2326475817984	45.53903302271672
Wasp2326475184592	Nest2326475800384	Nest2326475818512	35.430283265914056
Wasp2326475184640	Nest2326475824912	Nest2326475818272	37.3975144388963
Wasp2326475184784	Nest2326475707248	Nest2326475823328	8.070879347110921
Wasp2326475184832	Nest2326475797648	Nest2326475798272	51.307203585822066
Wasp2326475184880	Nest2326475709600	Nest2326475658336	9.023396411592424
Wasp2326475185696	Nest2326475148784	Nest2326475709696	35.12300793015377
Wasp2326475185696	Nest2326475709696	Nest2326475826512	80.00613475191744
Wasp2326475185840	Nest2326475822176	Nest2326475658288	7.4192077528335805
Wasp2326475186128	Nest2326475147920	Nest2326475797120	42.02870986915667
Wasp2326475321744	Nest2326475148688	Nest2326475798224	15.839400030610674
Wasp2326475321936	Nest2326475708256	Nest2326475709792	12.627696057775266
Wasp2326475321936	Nest2326475709792	Nest2326475824960	48.32077335440648
Wasp2326475322224	Nest2326475823664	Nest2326475826656	49.46091524441163
Wasp2326475322224	Nest2326475826656	Nest2326475828576	24.05267591711486
Wasp2326475322272	Nest2326475796784	Nest2326475822272	18.093850093026486
Wasp2326475322272	Nest2326475822272	Nest2326475658528	29.814048177231395
Wasp2326475322320	Nest2326475147488	Nest2326475708304	25.366389026255696
Wasp2326475322368	Nest2326475822320	Nest2326475817888	39.06306153435829
Wasp2326475322368	Nest2326475817888	Nest2326475818704	31.116048054833033
Wasp2326475322704	Nest2326475148928	Nest2326475658672	37.271184375646556
Wasp2326475322896	Nest2326475148832	Nest2326475797792	24.664988072811393
Wasp2326475323136	Nest2326475825792	Nest2326475817024	45.77281119633362
Wasp2326475323232	Nest2326475826464	Nest2326475818176	11.835305382107984
Wasp2326475323664	Nest2326475709936	Nest2326475824864	24.51270700154205
Wasp2326475323712	Nest2326475706432	Nest2326475824240	1.1420454473999941
Wasp2326475323712	Nest2326475824240	Nest2326475818080	6.297966218364131
Wasp2326475323808	Nest2326475707152	Nest2326475657280	13.285266682124854
Wasp2326475323856	Nest2326475148016	Nest2326475797840	35.78305437202147
Wasp2326475324336	Nest2326475707296	Nest2326475657376	5.563474629776323
Wasp2326475324768	Nest2326475657520	Nest2326475828096	43.119579929354714
Wasp2326475324864	Nest2326475799760	Nest2326475708448	16.33032636653752
Wasp2326475324912	Nest2326475826800	Nest2326475828144	76.12690119218094
Wasp2326475324960	Nest2326475798560	Nest2326475660880	18.574063174011954
Wasp2326475252352	Nest2326475658864	Nest2326475818656	31.443042194467893
Wasp2326475252400	Nest2326475798608	Nest2326475799904	49.10141554921044
Wasp2326475252928	Nest2326475147248	Nest2326475147200	38.40415107968364
Wasp2326475252976	Nest2326475659872	Nest2326475820240	44.06384127109894
Wasp2326475253264	Nest2326475710128	Nest2326475819376	10.438117398211691
Wasp2326475253408	Nest2326475822416	Nest2326475823424	82.81681780848821
Wasp2326475254080	Nest2326475797936	Nest2326475708592	34.98958823816
Wasp2326475254080	Nest2326475708592	Nest2326475823280	37.888054281289975
Wasp2326475254320	Nest2326475798464	Nest2326475822464	28.576302900178387
Wasp2326475254848	Nest2326475799952	Nest2326475826080	40.98625245498232
Wasp2326475254944	Nest2326475660304	Nest2326475819472	28.646538801046944
Wasp2326475254992	Nest2326475798752	Nest2326475708688	65.27391179560139
Wasp2326475255040	Nest2326475661264	Nest2326475828720	42.47570132867467
Wasp2326475255040	Nest2326475828720	Nest2326475818128	26.260703944249208
Wasp2326475255088	Nest2326475148208	Nest2326475658816	39.849651210417946
Wasp2326475255184	Nest2326475147536	Nest2326475708544	40.49805140296332
Wasp2326475255328	Nest2326475828288	Nest2326475819616	33.75848924294375
Wasp2326475255424	Nest2326475828816	Nest2326475819664	66.83915847400998
Wasp2326475255616	Nest2326475710368	Nest2326475657664	41.59140058035568
Wasp2326475255712	Nest2326475799808	Nest2326475824048	37.27300971999146
Wasp2326475255712	Nest2326475824048	Nest2326475661168	38.32970049759706
Wasp2326475305312	Nest2326475706576	Nest2326475819520	15.736192851293623
Wasp2326475305696	Nest2326475798128	Nest2326475824096	39.61314068587349
Wasp2326475305696	Nest2326475824096	Nest2326475820336	13.041789464487241
Wasp2326475306464	Nest2326475148976	Nest2326475824192	31.223729575513037
Wasp2326475306608	Nest2326475822752	Nest2326475660448	33.12226777104998
Wasp2326475306704	Nest2326475706624	Nest2326475823616	7.275734786183169
Wasp2326475307088	Nest2326475708880	Nest2326475824432	17.199135320283716
Wasp2326475307088	Nest2326475824432	Nest2326475827184	10.792695419934477
Wasp2326475307232	Nest2326475822848	Nest2326475828864	66.18782758642438
Wasp2326475307616	Nest2326475826176	Nest2326475818992	57.173321666728604
Wasp2326475308384	Nest2326475799184	Nest2326475821504	12.73035896532084
Wasp2326475308672	Nest2326475827376	Nest2326475819760	46.962222165890225
Wasp2326475308816	Nest2326475149264	Nest2326475706768	33.37008303124522
Wasp2326475161712	Nest2326475657760	Nest2326475824288	15.657923387172826
Wasp2326475162096	Nest2326475822608	Nest2326475658048	71.97792679665898
Wasp2326475162192	Nest2326475827328	Nest2326475817552	65.63431795578863
Wasp2326475162336	Nest2326475797360	Nest2326475821552	52.937711487357056
Wasp2326475162336	Nest2326475821552	Nest2326475824480	24.64256155558599
Wasp2326475163296	Nest2326475796880	Nest2326475820576	29.82009273391553
Wasp2326475163344	Nest2326475796544	Nest2326475706864	4.309310311316941
Wasp2326475163344	Nest2326475706864	Nest2326475660688	17.55378700704792
Wasp2326475163344	Nest2326475660688	Nest2326475817600	19.161259705765712
Wasp2326475163680	Nest2326475797312	Nest2326475706672	42.224510409079194
Wasp2326475163680	Nest2326475706672	Nest2326475707488	19.974845981094873
Wasp2326475164064	Nest2326475797264	Nest2326475821792	24.507288217495212
Wasp2326475164112	Nest2326475821840	Nest2326475822800	21.950565863606425
Wasp2326475164112	Nest2326475822800	Nest2326475828048	46.470564971512616
Wasp2326475164256	Nest2326475825600	Nest2326475819952	12.343802789937456
Wasp2326475164304	Nest2326475706912	Nest2326475709264	46.087018242020115
Wasp2326475164352	Nest2326475822896	Nest2326475658144	49.527421389879144
Wasp2326475164352	Nest2326475658144	Nest2326475657856	6.641200541602652
Wasp2326475164592	Nest2326475799376	Nest2326475827616	39.675695329311004
Wasp2326475164688	Nest2326475800144	Nest2326475659248	12.556061140083086
Wasp2326475164688	Nest2326475659248	Nest2326475818320	19.81594382265839
Wasp2326475164832	Nest2326475659344	Nest2326475660736	60.667843371006285
