waspID	nest1	nest2	distance
Wasp2326476129280	Nest2326475247040	Nest2326475260352	50.404556739263334
Wasp2326476129520	Nest2326475262752	Nest2326475296240	65.86359630359615
Wasp2326476129568	Nest2326476208592	Nest2326476230768	17.96637232006115
Wasp2326476129712	Nest2326475326176	Nest2326475349632	27.201147480410164
Wasp2326476129712	Nest2326475349632	Nest2326476206576	43.24821806316152
Wasp2326476129904	Nest2326475327856	Nest2326475349680	31.508255863797533
Wasp2326476129952	Nest2326475245744	Nest2326475261792	21.471375405900222
Wasp2326476129952	Nest2326475261792	Nest2326475295088	18.782208140625073
Wasp2326476130000	Nest2326475295136	Nest2326476208640	25.224807051024904
Wasp2326476130096	Nest2326476177216	Nest2326476208688	23.920274042828417
Wasp2326476130288	Nest2326476175536	Nest2326476206624	54.64134256734545
Wasp2326476130336	Nest2326476175584	Nest2326476176256	23.948179164788268
Wasp2326476130624	Nest2326475262800	Nest2326475295184	39.6043746831174
Wasp2326476130768	Nest2326475295232	Nest2326475326320	26.771787848262804
Wasp2326476130816	Nest2326475262896	Nest2326475293024	21.343451405786517
Wasp2326476130816	Nest2326475293024	Nest2326476209408	77.20182149741065
Wasp2326476131008	Nest2326475296432	Nest2326475327904	43.47062711264841
Wasp2326476131008	Nest2326475327904	Nest2326476177264	46.415168320420555
Wasp2326476131200	Nest2326475296480	Nest2326475349824	3.3547709298288857
Wasp2326476131392	Nest2326475262992	Nest2326475295280	11.992549995491466
Wasp2326476131824	Nest2326475328000	Nest2326476208832	49.9804539152534
Wasp2326476131920	Nest2326476176352	Nest2326476207392	18.958781718282303
Wasp2326476132016	Nest2326475261936	Nest2326475263088	44.03033917317198
Wasp2326476132016	Nest2326475263088	Nest2326475347952	38.253190078711945
Wasp2326476132160	Nest2326475326464	Nest2326475346032	27.188651948931728
Wasp2326476132208	Nest2326475261024	Nest2326475326512	38.774621338653596
Wasp2326476132208	Nest2326475326512	Nest2326475349872	12.277648795760944
Wasp2326476132256	Nest2326475247088	Nest2326475346080	42.36199568198097
Wasp2326476140704	Nest2326475263136	Nest2326475328048	32.87195877617821
Wasp2326476140704	Nest2326475328048	Nest2326476206672	54.85446937936965
Wasp2326476140800	Nest2326475247136	Nest2326475260448	51.22109235853228
Wasp2326476140848	Nest2326475260496	Nest2326476206720	4.266549793887052
Wasp2326476140992	Nest2326475349920	Nest2326476206768	21.001479267349577
Wasp2326476141040	Nest2326475296624	Nest2326476207536	22.4955850931267
Wasp2326476141040	Nest2326476207536	Nest2326476208160	48.96963362742904
Wasp2326476141088	Nest2326475346128	Nest2326476175728	6.29226830671491
Wasp2326476141472	Nest2326476175776	Nest2326476208208	16.798956869612468
Wasp2326476141520	Nest2326475262080	Nest2326475348384	39.59439135688845
Wasp2326476141568	Nest2326475328096	Nest2326475346224	31.088084068041553
Wasp2326476141664	Nest2326476174672	Nest2326476177312	8.118128872031292
Wasp2326476142144	Nest2326475326656	Nest2326476177360	39.544964368831565
Wasp2326476142240	Nest2326476173376	Nest2326476206144	41.54094793839881
Wasp2326476142336	Nest2326475293216	Nest2326475326704	49.960354657486164
Wasp2326476142336	Nest2326475326704	Nest2326476173424	19.999410644723064
Wasp2326476142336	Nest2326476173424	Nest2326476174768	8.781964886559278
Wasp2326476142576	Nest2326475263184	Nest2326475295376	61.26198444759415
Wasp2326476142768	Nest2326475261072	Nest2326475346272	33.28003794211167
Wasp2326476142816	Nest2326475263232	Nest2326476208256	25.774854830168245
Wasp2326476142912	Nest2326475247184	Nest2326475294032	20.357810833231962
Wasp2326476143008	Nest2326476209696	Nest2326476230912	17.653537672781066
Wasp2326476143056	Nest2326475328240	Nest2326476209744	30.929602143142592
Wasp2326476143296	Nest2326475346320	Nest2326476175920	81.86768895949754
Wasp2326476143776	Nest2326475246368	Nest2326475247280	13.281480522593318
Wasp2326476144016	Nest2326475263424	Nest2326475295424	21.57354691166066
