waspID	nest1	nest2	distance
Wasp2326479380832	Nest2326478894848	Nest2326478956384	2.3210849296583747
Wasp2326478400864	Nest2326478993872	Nest2326478956432	24.57168420775012
Wasp2326478401152	Nest2326478895952	Nest2326478956480	56.43424269694222
Wasp2326479508144	Nest2326478992912	Nest2326478987328	4.7146373429522646
Wasp2326479508240	Nest2326478991520	Nest2326478893792	10.744174931291063
Wasp2326479508240	Nest2326478893792	Nest2326478957248	15.354440438857367
Wasp2326479508240	Nest2326478957248	Nest2326478988144	17.635120741475035
Wasp2326479508336	Nest2326478895088	Nest2326478989200	14.403857134556675
Wasp2326479508384	Nest2326478954800	Nest2326478988240	17.579851088276186
Wasp2326479508576	Nest2326479128224	Nest2326478995408	33.53786194918118
Wasp2326479508912	Nest2326479127792	Nest2326478994064	13.601581202664663
Wasp2326479509344	Nest2326479170384	Nest2326478991712	20.140985532750964
Wasp2326479509344	Nest2326478991712	Nest2326478956576	34.64654953495998
Wasp2326479509968	Nest2326479126832	Nest2326478895184	45.357454891280426
Wasp2326479510064	Nest2326479126880	Nest2326478991664	10.883357098704607
Wasp2326479510112	Nest2326478955616	Nest2326478989296	33.489420010567365
Wasp2326479510256	Nest2326479167984	Nest2326479170432	47.25169188161613
Wasp2326479510352	Nest2326478893888	Nest2326478955664	16.59595349794989
Wasp2326479510592	Nest2326478957296	Nest2326478987472	8.378979987187433
Wasp2326479510976	Nest2326478922416	Nest2326478957488	59.53983254911483
Wasp2326479511072	Nest2326478896336	Nest2326478924096	45.350556376400135
Wasp2326479511216	Nest2326478957392	Nest2326478988336	15.645324601653176
Wasp2326479511312	Nest2326479128368	Nest2326478925296	17.186250963943912
Wasp2326479511408	Nest2326479171200	Nest2326478955040	28.084305946911297
Wasp2326479515760	Nest2326478991616	Nest2326478994016	53.727047810040375
Wasp2326479515808	Nest2326478995360	Nest2326478987424	20.984663467120978
Wasp2326479516240	Nest2326479170480	Nest2326479128464	23.73631122534887
Wasp2326479516384	Nest2326479127888	Nest2326478993920	27.31552800369118
Wasp2326479516480	Nest2326478922560	Nest2326478956672	23.106908805974584
Wasp2326479516480	Nest2326478956672	Nest2326478988480	5.855497752601912
Wasp2326479516672	Nest2326478994160	Nest2326478988432	38.52550277722896
Wasp2326479516864	Nest2326479056704	Nest2326479170000	8.862130553749727
Wasp2326479516960	Nest2326479128512	Nest2326478955856	16.303293346319577
Wasp2326479517008	Nest2326478896480	Nest2326478922704	8.938112372911842
Wasp2326479517392	Nest2326478922608	Nest2326478955808	39.89545574628574
Wasp2326479517536	Nest2326478922656	Nest2326478925392	25.852517922195428
Wasp2326479518016	Nest2326479126928	Nest2326479128656	8.503751243784125
Wasp2326479518016	Nest2326479128656	Nest2326478991904	24.714779029242763
Wasp2326479518016	Nest2326478991904	Nest2326478893120	10.487862415113208
Wasp2326479518112	Nest2326479056752	Nest2326479170528	12.528048460638397
Wasp2326479518400	Nest2326478895328	Nest2326478987568	26.803378864642546
Wasp2326479518496	Nest2326479169088	Nest2326479130000	28.039417018776437
Wasp2326479518592	Nest2326479056800	Nest2326478993152	28.291742889941048
Wasp2326479518688	Nest2326478993200	Nest2326478893216	20.833590223961007
Wasp2326479518832	Nest2326478894032	Nest2326478896720	34.33648860034074
Wasp2326479518832	Nest2326478896720	Nest2326478988576	13.635132787026153
Wasp2326479519408	Nest2326478896624	Nest2326478922080	24.498321532505773
Wasp2326479519648	Nest2326478993104	Nest2326478922176	34.73879169608936
Wasp2326479519696	Nest2326479127024	Nest2326479128752	1.8001081109607995
Wasp2326479524288	Nest2326479170624	Nest2326478992048	29.980587510993857
Wasp2326479524288	Nest2326478992048	Nest2326478895472	7.295132224896491
Wasp2326479524384	Nest2326479127984	Nest2326479130048	36.21761737228138
Wasp2326479524672	Nest2326479168320	Nest2326478895616	5.058305758507985
Wasp2326479524672	Nest2326478895616	Nest2326478987616	20.229141555287153
Wasp2326479525296	Nest2326478893264	Nest2326478957824	5.143574171319237
Wasp2326479525344	Nest2326478893168	Nest2326478925536	18.92049715092942
Wasp2326479525632	Nest2326478894176	Nest2326478895424	35.634264899525284
Wasp2326479526064	Nest2326478895568	Nest2326478896672	4.050427738559604
Wasp2326479526064	Nest2326478896672	Nest2326478988768	7.501980745039997
Wasp2326479526160	Nest2326478924960	Nest2326478958448	60.65559285670538
Wasp2326479526352	Nest2326479128944	Nest2326478923136	24.31656279514579
Wasp2326479526400	Nest2326478924432	Nest2326478924816	30.924432767492654
Wasp2326479526448	Nest2326478896816	Nest2326478924576	30.33600934383333
Wasp2326479526448	Nest2326478924576	Nest2326478958400	36.12492179338464
Wasp2326479526544	Nest2326479056560	Nest2326479128992	14.829039796691093
Wasp2326479526640	Nest2326478895664	Nest2326478987712	2.026049604842865
Wasp2326479526736	Nest2326479130144	Nest2326478924624	11.253020882274015
Wasp2326479527024	Nest2326479056848	Nest2326479127168	25.30512352072204
Wasp2326479527024	Nest2326479127168	Nest2326478924528	32.56997082785909
Wasp2326479527120	Nest2326479127216	Nest2326478893360	36.79936263655508
Wasp2326479527264	Nest2326478955184	Nest2326478956144	17.099523040982557
Wasp2326479527360	Nest2326479127264	Nest2326478896864	28.56821647607508
Wasp2326479527360	Nest2326478896864	Nest2326478923280	14.343773461040714
Wasp2326479536480	Nest2326478896960	Nest2326478955232	17.508565701260405
Wasp2326479536480	Nest2326478955232	Nest2326478956048	36.03919770021293
Wasp2326479536624	Nest2326479127408	Nest2326479130288	19.0307548557937
