waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326479947376	Nest2326479021248	38.61281383887527	21.167766838499592	21	True	True	False	
Wasp2326479947280	Nest2326479167984	91.22382902723261	16.94813091220385	18	False	False	False	
Wasp2326479947472	Nest2326479164848	27.99826475943536	32.93607989638208	11	False	False	False	
Wasp2326479947520	Nest2326479054832	23.291815432431846	27.241822898762248	7	True	True	True	
Wasp2326479947568	Nest2326479055552	84.00907302625178	2.2775709458331477	8	True	True	False	
Wasp2326479731536	Nest2326479053392	86.1898007722729	20.172686437769467	5	True	True	True	
Wasp2326479947328	Nest2326479164896	43.64626923749643	19.901991739415635	11	True	True	False	
Wasp2326479947136	Nest2326479164128	16.356200203572893	17.396959606361868	10	False	False	False	
Wasp2326479947136	Nest2326479023744	8.818590858221471	26.794410188243713	23	False	False	False	
Wasp2326479947616	Nest2326479023840	25.882533372545844	2.23159189055566	23	True	True	True	
Wasp2326479947664	Nest2326479167152	49.76116170223842	18.7419704834463	13	True	True	False	
Wasp2326479947664	Nest2326479148176	40.29514958320368	36.60568875798999	14	True	True	False	
Wasp2326479947712	Nest2326479148512	50.79906290963881	26.41399566348502	14	True	True	False	
Wasp2326479947760	Nest2326478989488	37.806286034148314	21.945993798012264	4	True	True	False	
Wasp2326479947760	Nest2326479165040	8.777380325050347	30.75305537429934	11	True	True	False	
Wasp2326479947760	Nest2326478936192	47.79002297654021	20.996182460893614	26	True	True	False	
Wasp2326479947808	Nest2326478897408	24.5302297750085	29.6488383256917	30	True	True	True	
Wasp2326479947856	Nest2326479166048	43.95929517810053	10.287540653880903	12	True	True	False	
Wasp2326479947856	Nest2326479167200	88.78442683701714	1.663694440755902	13	True	True	False	
Wasp2326479947904	Nest2326479168080	49.625051642569524	27.15113172410943	18	True	True	True	
Wasp2326479947952	Nest2326479169376	48.85799104478446	11.386427175898595	19	True	True	False	
Wasp2326479948000	Nest2326479169424	10.302013605923479	36.591654416289494	19	True	True	True	
Wasp2326479948000	Nest2326479170624	7.906423061608287	29.721839417495733	28	True	True	True	
Wasp2326479948048	Nest2326479170336	34.68472355086249	25.090575972812125	28	True	True	False	
Wasp2326479948096	Nest2326479053440	30.342670934723955	39.70609438487998	5	False	False	True	
Wasp2326479948144	Nest2326478987808	14.640475980726414	38.40702371806409	4	True	True	False	
Wasp2326479948192	Nest2326478935664	47.1349916373217	30.02863530117979	25	True	True	True	
Wasp2326479948240	Nest2326479170432	5.622115087437536	33.767647389350316	20	True	True	False	
Wasp2326479948240	Nest2326479023792	29.022833999405037	11.705770434472031	23	True	True	False	
Wasp2326479948240	Nest2326478936912	39.692598729596845	27.661335454322245	27	True	True	False	
Wasp2326479948288	Nest2326479148560	63.19558370867194	10.225013609216159	14	True	True	False	
Wasp2326479948336	Nest2326479056176	39.974542391213014	24.092805950932394	9	True	True	True	
Wasp2326479948384	Nest2326479165088	34.94095546402991	37.330218836535025	11	True	True	False	
Wasp2326479948432	Nest2326479022496	3.8208828904077974	23.590214012718878	22	True	True	True	
Wasp2326479948480	Nest2326479020576	53.28110792085033	27.477086886477117	28	True	True	False	
Wasp2326479948528	Nest2326479169472	40.07694214779514	18.30672918202233	19	True	True	False	
Wasp2326479948576	Nest2326479056080	21.389803637388447	18.504427707716925	9	True	True	True	
Wasp2326479948624	Nest2326479054736	50.04626019139327	14.776802807723966	7	True	True	False	
Wasp2326479948672	Nest2326479166096	27.389084573563103	10.655557844352561	12	False	False	False	
Wasp2326479948720	Nest2326479170672	42.79182801770683	28.197382452514372	20	True	True	False	
Wasp2326479948768	Nest2326478989008	51.85419498811616	21.341667790782946	4	True	True	True	
Wasp2326479948768	Nest2326479168176	31.064687734995534	37.716738855986975	18	True	True	True	
