waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326481716176	Nest2326480924736	25.281269911276922	21.2612237130637	18	False	False	True	
Wasp2326481716080	Nest2326480978272	27.28835084910073	14.524877028708062	21	False	False	True	
Wasp2326481716272	Nest2326480684896	35.81537642517855	26.079701788432203	27	True	True	True	
Wasp2326481716320	Nest2326480936480	31.240127970076426	8.832106000463732	10	True	True	True	
Wasp2326481716368	Nest2326481085872	17.488808109327966	20.29937937388314	12	False	False	True	
Wasp2326481716368	Nest2326480979184	51.08858451392848	32.775062100328064	22	False	False	True	
Wasp2326481716416	Nest2326481085008	47.7779587368451	10.073952961385196	11	True	True	True	
Wasp2326481716416	Nest2326481117344	64.30993744077436	17.639006438652924	14	False	False	True	
Wasp2326481716416	Nest2326481120080	25.957473132972883	5.8729434674535	17	False	False	True	
Wasp2326481716416	Nest2326480981824	27.166462793345826	12.486531573915038	24	False	False	True	
Wasp2326481716464	Nest2326480934320	51.634559947153036	29.237646490636614	8	True	True	True	
Wasp2326481716464	Nest2326480935184	25.9802567762732	10.53115226774931	9	True	True	True	
Wasp2326481716464	Nest2326481085968	69.18308310922825	12.204715748032557	12	True	True	True	
Wasp2326481716464	Nest2326480980432	28.2224441854739	3.2212833669279632	23	False	False	True	
Wasp2326481716512	Nest2326481085056	50.471305365480625	24.491241373451466	11	True	True	True	
Wasp2326481716512	Nest2326480683648	76.45792926538431	11.007371738149308	25	False	False	True	
Wasp2326473799520	Nest2326480685376	89.48536190690099	2.867080325372971	28	False	False	True	
Wasp2326481716128	Nest2326480933552	48.3728023818107	20.221388978069722	7	False	False	True	
Wasp2326481715936	Nest2326480979232	8.211329241284199	32.41387277418322	22	False	False	True	
Wasp2326481716560	Nest2326480924832	40.42053286906128	16.34449612755684	18	True	True	True	
Wasp2326481716608	Nest2326481117488	21.908378858537052	40.4337277190591	14	True	True	True	
Wasp2326481716656	Nest2326481087120	10.577811431997299	35.411696888451814	13	False	False	True	
Wasp2326481716704	Nest2326480933504	84.32168649800876	10.4231272247865	7	False	False	True	
Wasp2326481716752	Nest2326480685856	31.38439659737706	36.22508003571768	29	False	False	True	
Wasp2326481716800	Nest2326481118208	20.90550501353541	41.30690179828531	15	True	True	True	
Wasp2326481716848	Nest2326481118496	79.1911894991836	12.221437947076684	15	False	False	True	
Wasp2326481716896	Nest2326480978032	64.14411737645955	19.283914990941746	21	False	False	True	
Wasp2326481716944	Nest2326475029712	26.871128789344954	10.285314412875309	5	True	True	True	
Wasp2326481716944	Nest2326481119840	27.243054119369386	8.123670534949555	16	True	True	True	
Wasp2326481716944	Nest2326480683696	15.673011179599174	23.499699539915866	25	True	True	True	
Wasp2326481716992	Nest2326480684944	50.06281449358087	12.333299523185396	27	False	False	True	
Wasp2326481717040	Nest2326481086016	84.82196953279661	2.986723133401273	12	False	False	True	
Wasp2326481717088	Nest2326480927616	66.85054302645288	17.7767538517336	20	False	False	True	
Wasp2326481717136	Nest2326480935376	58.522548408151124	15.096675673353218	9	True	True	True	
Wasp2326481717136	Nest2326480924880	24.325126473754665	32.622375642541904	18	False	False	True	
Wasp2326481717184	Nest2326475029760	91.91906450543863	9.932140748201006	5	True	True	True	
Wasp2326481717232	Nest2326480686624	10.232957455002115	36.8902766732178	30	True	True	True	
Wasp2326481717280	Nest2326480936624	8.0458966369564	27.083070955712508	10	False	False	True	
Wasp2326481717280	Nest2326481119888	57.531174251427046	12.184842923501037	16	True	True	True	
Wasp2326481717328	Nest2326475028464	16.333040841256413	45.20799021094647	4	True	True	True	
