waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326476231728	Nest2326476495504	63.3207209876778	26.006342986480867	16	None	None	None	
Wasp2326476231680	Nest2326476496128	20.194363115329633	8.77321255622309	17	None	None	None	
Wasp2326476231824	Nest2326476492864	75.22490760568276	15.128984952338062	14	None	None	None	
Wasp2326476231776	Nest2326476496176	36.175291637921205	21.951962979580035	17	None	None	None	
Wasp2326476231632	Nest2326476422784	26.0297740048839	30.732437968361435	10	None	None	None	
Wasp2326476231632	Nest2326476496224	27.363936779133123	6.361311476058664	17	None	None	None	
Wasp2326476231872	Nest2326476546112	21.815639211399333	11.04621513163433	21	None	None	None	
Wasp2326476231920	Nest2326476396912	86.42086112889616	17.953716457698533	4	None	None	None	
Wasp2326476231968	Nest2326476579792	30.049957607418307	19.97896667796814	26	None	None	None	
Wasp2326476232016	Nest2326476494064	22.72141963909326	12.823431436023961	15	None	None	None	
Wasp2326476232064	Nest2326476421776	72.98100163028394	21.604654482562903	9	None	None	None	
Wasp2326476232112	Nest2326476546160	43.54827581401582	31.309998057689707	21	None	None	None	
Wasp2326476232112	Nest2326476581280	42.452670525522976	28.072128176337714	28	None	None	None	
Wasp2326476232160	Nest2326476547072	23.60718086366658	41.062625619000976	22	None	None	None	
Wasp2326476232208	Nest2326476397920	20.09260399214462	19.924939020894126	5	None	None	None	
Wasp2326476232256	Nest2326476420048	12.563461410570296	31.216063900471333	7	None	None	None	
Wasp2326476232304	Nest2326476582864	29.707130926656145	33.96384221615323	30	None	None	None	
Wasp2326476232352	Nest2326476458736	63.76609910582522	6.522293903205553	13	None	None	None	
Wasp2326476232400	Nest2326476456480	44.70648533965451	31.2040011435418	11	None	None	None	
Wasp2326476232448	Nest2326476396096	70.08067097947523	10.965167241686416	1	None	None	None	
Wasp2326476232496	Nest2326476546208	14.988860535070382	11.766630427179255	21	None	None	None	
Wasp2326476232544	Nest2326476546256	13.258084224010773	35.880276548576965	21	None	None	None	
Wasp2326476232592	Nest2326476420096	28.799304806483203	21.0114527209177	7	None	None	None	
Wasp2326476232592	Nest2326476495552	84.14415713793707	7.134822127197888	16	None	None	None	
Wasp2326476232640	Nest2326476456528	8.05518503630429	25.654922564513008	11	None	None	None	
Wasp2326476232688	Nest2326476579840	13.052542891400028	33.94417306987196	26	None	None	None	
Wasp2326476232736	Nest2326476420768	13.958773555860244	27.119154969521198	8	None	None	None	
Wasp2326476232784	Nest2326476582048	45.053479203808905	31.991403258089747	29	None	None	None	
Wasp2326476232832	Nest2326476456576	71.68445944443553	5.45266516704853	11	None	None	None	
Wasp2326476232880	Nest2326476421824	84.55628952696708	1.769710937370093	9	None	None	None	
Wasp2326476232928	Nest2326476579888	46.97664976734555	9.452020679662711	26	None	None	None	
Wasp2326476232928	Nest2326476607552	18.13161241570288	32.409871154936916	30	None	None	None	
Wasp2326476232976	Nest2326476397968	89.180063260452	4.936106161302432	5	None	None	None	
Wasp2326476233024	Nest2326476457536	63.518099523337185	8.359197774538805	12	None	None	None	
Wasp2326476233072	Nest2326476419376	12.660095272347395	24.492151675230076	6	None	None	None	
Wasp2326476233120	Nest2326476492912	45.03564139978019	10.865833786506267	14	None	None	None	
Wasp2326476233120	Nest2326476523696	46.222433847731786	32.06479510880273	20	None	None	None	
Wasp2326476233168	Nest2326476546304	78.27323377634112	1.7497643015095974	21	None	None	None	
Wasp2326476233216	Nest2326476457584	13.480404785803655	16.87152978175831	12	None	None	None	
Wasp2326476233264	Nest2326476547936	41.4149621899481	33.09383045026251	23	None	None	None	
Wasp2326476233312	Nest2326476419424	25.91936841099417	17.236369437267204	6	None	None	None	
Wasp2326476233312	Nest2326476422832	30.70997070782624	25.643670271244495	10	None	None	None	
Wasp2326476233312	Nest2326476522880	59.014222655682815	6.375103275088917	19	None	None	None	
Wasp2326476233360	Nest2326476422880	57.49510208466934	20.513656103566507	10	None	None	None	
Wasp2326476233408	Nest2326476492960	20.28358676972574	11.378894802652454	14	None	None	None	
Wasp2326476233408	Nest2326476547984	60.17711583394383	13.599321450739609	23	None	None	None	
Wasp2326476233456	Nest2326476458784	29.780475392839573	32.21000683137311	13	None	None	None	
Wasp2326476233504	Nest2326476494112	49.07823788452663	27.97496760007624	15	None	None	None	
Wasp2326476233552	Nest2326476494160	30.20941790180822	28.431670351301584	15	None	None	None	
Wasp2326476233552	Nest2326476581328	32.29833333901172	20.394559903997283	28	None	None	None	
Wasp2326476233600	Nest2326476493008	26.32533045683987	6.431114525877604	14	None	None	None	
Wasp2326476233648	Nest2326476421872	51.91018847827144	10.776748960656892	9	None	None	None	
Wasp2326476233696	Nest2326476396960	78.30127186097155	10.506982105413721	4	None	None	None	
Wasp2326476233744	Nest2326476581376	75.64146365524125	24.244077755805197	28	None	None	None	
Wasp2326476233792	Nest2326476580896	77.483410237175	11.587466301366506	27	None	None	None	
Wasp2326476233840	Nest2326476607600	62.08777487020926	20.00694873490852	30	None	None	None	
Wasp2326476233888	Nest2326476579936	69.3177350514878	6.579756423432104	26	None	None	None	
Wasp2326476233936	Nest2326476396144	50.48536397684371	27.426164214854815	1	None	None	None	
Wasp2326476233984	Nest2326476397008	82.9118728750115	15.657273173473735	4	None	None	None	
Wasp2326476233984	Nest2326476547120	89.78145390243024	10.907348824081353	22	None	None	None	
Wasp2326476233984	Nest2326476548032	29.559194238955506	10.482217191337401	23	None	None	None	
Wasp2326476234032	Nest2326476522928	23.73001449861796	16.162287264520913	19	None	None	None	
Wasp2326476234080	Nest2326476522976	32.94779271675307	18.204610274826706	19	None	None	None	
Wasp2326476234128	Nest2326476456624	38.35451119212135	15.68373936229645	11	None	None	None	
Wasp2326476234128	Nest2326476494208	25.10563354754769	33.47303915419657	15	None	None	None	
Wasp2326476234176	Nest2326476419472	28.955165144906665	19.2900118661189	6	None	None	None	
Wasp2326476234224	Nest2326476496272	58.32126957945261	11.770573350704524	17	None	None	None	
Wasp2326476234272	Nest2326476396192	21.91085676484979	4.507942078785603	1	None	None	None	
Wasp2326476234272	Nest2326476458832	57.42798921234592	7.994386110824323	13	None	None	None	
Wasp2326476234320	Nest2326476398016	25.255049797325704	29.699623354150837	5	None	None	None	
Wasp2326476234368	Nest2326476582096	44.98318299986296	11.464741365750795	29	None	None	None	
Wasp2326476234416	Nest2326476496320	46.898118624383045	7.179752985871367	17	None	None	None	
Wasp2326476234416	Nest2326476582144	48.88847735057501	22.12908626475317	29	None	None	None	
Wasp2326476234464	Nest2326476523744	73.43101156020128	22.659503790441878	20	None	None	None	
Wasp2326476234512	Nest2326476458880	17.28962700573196	43.2151343972119	13	None	None	None	
Wasp2326476234512	Nest2326476581424	24.585287659646017	35.993227603336074	28	None	None	None	
Wasp2326476234560	Nest2326476398064	93.30427589592679	10.038854765480567	5	None	None	None	
Wasp2326476234560	Nest2326476495600	63.342296077069875	9.314805634977805	16	None	None	None	
Wasp2326476234608	Nest2326476523024	27.397040716643026	12.586602935971952	19	None	None	None	
Wasp2326476234656	Nest2326476494256	72.11556386819694	22.65573607879227	15	None	None	None	
Wasp2326476234704	Nest2326476458928	14.291893199754305	43.2141282824404	13	None	None	None	
Wasp2326476234704	Nest2326476495648	48.342063858787334	20.379429644810667	16	None	None	None	
Wasp2326476263488	Nest2326476420816	8.866267350075024	32.46643599750413	8	None	None	None	
Wasp2326476263488	Nest2326476494304	78.9035933804792	11.19875836260682	15	None	None	None	
Wasp2326476263536	Nest2326476523072	56.573515700979755	26.776947984920675	19	None	None	None	
Wasp2326476263584	Nest2326476496368	50.019241021458846	27.254558338446536	17	None	None	None	
Wasp2326476263632	Nest2326476396576	29.00190173411109	19.054669512131127	3	None	None	None	
Wasp2326476263632	Nest2326476397056	92.05613883753765	14.723653015676227	4	None	None	None	
Wasp2326476263632	Nest2326476420864	27.0786201392938	41.16368099929428	8	None	None	None	
Wasp2326476263680	Nest2326476398112	14.717265882044103	14.401857100754933	5	None	None	None	
Wasp2326476263680	Nest2326476493056	42.14640838983048	24.70666803473162	14	None	None	None	
Wasp2326476263728	Nest2326476579984	79.18766009700913	12.60394896398956	26	None	None	None	
Wasp2326476263776	Nest2326476523792	62.14777381025186	22.374362461866127	20	None	None	None	
Wasp2326476263824	Nest2326476420144	39.574054296598796	26.51008817223299	7	None	None	None	
Wasp2326476263872	Nest2326476546352	58.69778376294628	5.215169490363186	21	None	None	None	
