waspID	nestID	x	y	day	bool_ENV	bool_LSF	bool_CA
Wasp2326478290608	Nest2326479047936	88.88977524219295	3.4397718129715993	11	True	True	False	
Wasp2326478290560	Nest2326479078880	47.89426729358099	11.57969633049765	13	True	True	False	
Wasp2326478290704	Nest2326479046112	35.0019655528872	23.031513205457607	9	True	True	False	
Wasp2326478290704	Nest2326479167984	82.51344100469437	1.8666548279611839	23	True	True	False	
Wasp2326478290656	Nest2326479079984	53.30780021816613	9.496577587215693	14	True	True	False	
Wasp2326478290656	Nest2326479171488	35.068196329917576	31.09765146099524	26	True	True	False	
Wasp2326478290512	Nest2326479103264	34.1192833805291	25.677314814816402	17	True	True	False	
Wasp2326478290752	Nest2326479168032	8.171873779960483	30.463861018553	23	True	True	False	
Wasp2326478290800	Nest2326479135696	39.37887670434018	11.092136848554672	20	True	True	False	
Wasp2326478290848	Nest2326479080032	62.286759654614286	18.335555524166	14	True	True	False	
Wasp2326478290848	Nest2326479171536	54.26231260745804	12.066996924940296	26	True	True	False	
Wasp2326478290896	Nest2326479171344	42.62324642078365	8.74985827060514	26	True	True	False	
Wasp2326478290896	Nest2326479193136	7.851803320574367	30.96230261052251	27	True	True	False	
Wasp2326478430272	Nest2326479045248	43.96551740400878	25.111429249880686	8	True	True	False	
Wasp2326478430320	Nest2326479171440	6.090326340190626	33.7805905453706	26	True	True	False	
Wasp2326478430368	Nest2326479046160	82.70111127144456	1.3898198274968927	9	True	True	False	
Wasp2326478430416	Nest2326479105568	26.850140582838975	35.34878579460611	19	True	True	False	
Wasp2326478430464	Nest2326479102976	62.30095717945708	19.85544689775825	16	True	True	False	
Wasp2326478430512	Nest2326479135744	23.710893285884705	33.036242566263205	20	True	True	False	
Wasp2326478430560	Nest2326479104464	56.66619854733472	25.808832026759067	18	True	True	False	
Wasp2326478430608	Nest2326479077680	37.613051059720284	10.558823937914672	12	True	True	False	
Wasp2326478430608	Nest2326479105616	37.75963226805358	36.906188031845595	19	True	True	False	
Wasp2326478430656	Nest2326479077728	31.08102673055752	27.22668059175181	12	True	True	False	
Wasp2326478430704	Nest2326479168080	40.63504334227446	21.921844907712057	23	True	True	False	
Wasp2326478430752	Nest2326479008528	25.991333228578807	35.166837467989076	4	True	True	False	
Wasp2326478430752	Nest2326479047312	65.71711979675867	17.834492674928775	10	True	True	False	
Wasp2326478430800	Nest2326479078928	81.20444836377983	2.1468686466075173	13	True	True	False	
Wasp2326478430848	Nest2326479048032	6.8048024069904995	34.057825232271014	11	True	True	False	
Wasp2326478430896	Nest2326479103408	11.566675747964867	33.15434304700803	17	True	True	False	
Wasp2326478430896	Nest2326479168224	49.77031309260421	18.981427809844156	23	True	True	False	
Wasp2326478430944	Nest2326479168128	49.29971537323378	14.7766489690855	23	True	True	False	
Wasp2326478430992	Nest2326479008576	75.97936285563709	18.773906471319794	4	True	True	False	
Wasp2326478431040	Nest2326479105664	52.68996001073687	16.137379302500005	19	True	True	False	
Wasp2326478431088	Nest2326479045296	12.908022729412863	36.24172366616924	8	True	True	False	
Wasp2326478431136	Nest2326479168176	49.81000094523174	9.650179480469525	23	True	True	False	
