"X";"NestID";"x";"y";"real_nest";"cluster"
"2";2;2;23245.619;197864.259;1;"11"
"5";5;5;23239.572;197870.415;1;"11"
"13";13;13;23256.358;197867.049;1;"6"
"22";22;22;23244.368;197864.926;1;"11"
"23";23;23;23243.702;197867.891;1;"11"
"24";24;24;23255.462;197875.77;1;"4"
"27";27;27;23264.598;197877.116;1;"4"
"44";44;44;23255.752;197867.056;1;"6"
"45";45;45;23239.925;197868.603;1;"11"
"47";47;47;23245.223;197865.867;1;"11"
"48";48;48;23244.491;197866.075;1;"11"
"52";52;52;23241.189;197867.503;1;"11"
"54";54;54;23239.201;197870.291;1;"11"
"59";59;59;23249.944;197869.106;1;"6"
"66";66;66;23240.862;197868.581;1;"11"
"68";68;68;23246.979;197865.155;1;"6"
"72";72;72;23279.721;197877.897;1;"1"
"74";74;74;23272.577;197893.851;1;"5"
"78";78;78;23271.853;197875.416;1;"7"
"79";79;79;23273.222;197874.383;1;"7"
"81";81;81;23275.291;197882.198;1;"9"
"82";82;82;23275.365;197882.292;1;"9"
"91";91;91;23317.218;197899.732;1;"8"
"92";92;92;23320.243;197899.033;1;"8"
"97";97;97;23319.095;197899.897;1;"8"
"102";102;102;23275.189;197885.045;1;"9"
"112";112;112;23258.139;197890.932;1;"2"
"113";112;112;23258.139;197890.932;1;"2"
"114";113;113;23260.147;197893.101;1;"2"
"121";120;120;23246.77;197866.293;1;"6"
"123";122;122;23246.083;197868.457;1;"11"
"131";130;130;23319.898;197898.502;1;"8"
"132";131;131;23318.72;197897.988;1;"8"
"133";132;132;23317.926;197899.576;1;"8"
"137";136;136;23321.096;197898.639;1;"8"
"139";138;138;23319.401;197898.578;1;"8"
"140";139;139;23318.627;197898.919;1;"8"
"141";140;140;23319.472;197899.213;1;"8"
"147";146;146;23300.9;197887.686;1;"10"
"151";150;150;23276.363;197872.545;1;"7"
"154";153;153;23273.484;197873.908;1;"7"
"156";155;155;23277.107;197873.18;1;"7"
"157";156;156;23276.093;197873.279;1;"7"
"158";157;157;23277.571;197872.844;1;"7"
"160";159;159;23276.233;197873.411;1;"7"
"162";161;161;23273.499;197874.82;1;"7"
"163";162;162;23276.197;197882.618;1;"9"
"165";164;164;23271.628;197881.788;1;"9"
"167";166;166;23276.051;197884.487;1;"9"
"168";167;167;23274.305;197891.158;1;"5"
"169";168;168;23275.157;197883.907;1;"9"
"173";172;172;23274.074;197883.72;1;"9"
"174";173;173;23275.304;197884.433;1;"9"
"176";175;175;23242.226;197870.319;1;"11"
"177";176;176;23238.699;197866.299;1;"11"
"180";179;179;23316.319;197902.219;1;"8"
"181";180;180;23319.296;197899.797;1;"8"
"183";182;182;23270.288;197890.121;1;"5"
"184";183;183;23280.095;197893.651;1;"3"
"185";184;184;23280.52;197892.391;1;"3"
"187";186;186;23274.243;197874.524;1;"7"
"188";187;187;23274.017;197874.688;1;"7"
"190";189;189;23271.491;197874.649;1;"7"
"191";190;190;23272.787;197874.669;1;"7"
"192";190;190;23272.787;197874.669;1;"7"
"193";191;191;23273.456;197874.939;1;"7"
"194";192;192;23268.612;197875.951;1;"7"
"195";193;193;23269.147;197878.476;1;"7"
"196";194;194;23273.156;197874.296;1;"7"
"197";195;195;23273.598;197874.56;1;"7"
"198";196;196;23272.546;197875.615;1;"7"
"200";198;198;23241.598;197867.754;1;"11"
"201";199;199;23239.204;197869.161;1;"11"
"202";199;199;23239.204;197869.161;1;"11"
"206";203;203;23249.232;197866.511;1;"6"
"207";203;203;23249.232;197866.511;1;"6"
"208";204;204;23255.485;197866.529;1;"6"
"209";205;205;23253.583;197866.79;1;"6"
"210";206;206;23251.195;197867.658;1;"6"
"211";207;207;23241.299;197867.197;1;"11"
"212";208;208;23248.244;197868.754;1;"6"
"213";208;208;23248.244;197868.754;1;"6"
"215";210;210;23318.759;197899.836;1;"8"
"216";211;211;23318.989;197899.592;1;"8"
"217";212;212;23318.479;197899.259;1;"8"
"222";217;217;23238.905;197865.185;1;"11"
"225";220;220;23250.087;197868.011;1;"6"
"227";222;222;23268.484;197875.388;1;"7"
"228";223;223;23268.699;197874.556;1;"7"
"230";225;225;23271.784;197874.969;1;"7"
"233";228;228;23273.081;197875.522;1;"7"
"235";230;230;23273.108;197873.858;1;"7"
"236";231;231;23271.195;197875.648;1;"7"
"241";236;236;23280.883;197884.375;1;"1"
"243";238;238;23281.107;197884.652;1;"1"
"245";240;240;23281.834;197880.441;1;"1"
"252";247;247;23271.654;197893.649;1;"5"
"253";248;248;23270.969;197893.433;1;"5"
"255";250;250;23318.043;197900.078;1;"8"
"256";251;251;23319.824;197899.471;1;"8"
"257";252;252;23320.825;197898.629;1;"8"
"258";253;253;23313.919;197900.045;1;"8"
"259";254;254;23300.23;197887.567;1;"10"
"261";256;256;23300.598;197886.248;1;"10"
"262";257;257;23280.766;197891.975;1;"3"
"264";259;259;23272.145;197894.35;1;"5"
"265";260;260;23280.752;197884.713;1;"1"
"266";261;261;23282.111;197892.962;1;"3"
"271";266;266;23276.396;197884.5;1;"9"
"272";267;267;23275.225;197885.285;1;"9"
"273";267;267;23275.225;197885.285;1;"9"
"275";269;269;23275.024;197883.739;1;"9"
"276";270;270;23247.067;197865.119;1;"6"
"277";271;271;23239.244;197865.106;1;"11"
"278";272;272;23254.296;197865.822;1;"6"
"282";276;276;23271.378;197874.65;1;"7"
"285";279;279;23269.979;197876.548;1;"7"
"286";280;280;23273.762;197891.287;1;"5"
"288";282;282;23270.519;197881.32;1;"9"
"289";283;283;23270.694;197893.492;1;"5"
"292";286;286;23313.77;197899.505;1;"8"
"293";287;287;23316.745;197899.379;1;"8"
"294";288;288;23272.993;197893.901;1;"5"
"296";290;290;23263.626;197876.89;1;"4"
"298";292;292;23264.431;197876.46;1;"4"
"301";295;295;23269.628;197891.646;1;"5"
"303";297;297;23262.672;197877.511;1;"4"
"308";302;302;23262.643;197876.479;1;"4"
"309";303;303;23262.783;197875.825;1;"4"
"310";304;304;23258.681;197892.866;1;"2"
"317";311;311;23283.237;197891.026;1;"3"
"319";313;313;23281.154;197892.499;1;"3"
"320";314;314;23282.05;197892.922;1;"3"
"322";316;316;23282.515;197893.131;1;"3"
"323";317;317;23281.802;197893.118;1;"3"
"324";318;318;23280.86;197881.585;1;"1"
"325";319;319;23279.394;197882.795;1;"1"
"326";320;320;23264.024;197878.778;1;"4"
"327";321;321;23242.471;197870.137;1;"11"
"328";322;322;23250.619;197869.031;1;"6"
"330";324;324;23272.507;197878.262;1;"7"
"333";327;327;23273.789;197875.489;1;"7"
"334";328;328;23263.868;197879.363;1;"4"
"337";331;331;23263.74;197879.412;1;"4"
"338";332;332;23257.991;197892.04;1;"2"
"341";335;335;23263.702;197879.113;1;"4"
"344";338;338;23272.038;197894.068;1;"5"
"345";339;339;23271.945;197894.394;1;"5"
"346";340;340;23275.686;197890.211;1;"3"
"347";341;341;23318.002;197899.193;1;"8"
