"rowname"	"effect"	"size"	"model"
"1"	"Intercept"	"mean"	-5.86685390487309	67
"2"	"NDVIstd"	"mean"	-10.1057206234953	67
"3"	"Wstd"	"mean"	3.26776027099059	67
"4"	"Intercept"	"0.025quant"	-9.86156127978917	67
"5"	"NDVIstd"	"0.025quant"	-14.5294787288138	67
"6"	"Wstd"	"0.025quant"	1.65153673301774	67
"7"	"Intercept"	"0.975quant"	-2.71133661446709	67
"8"	"NDVIstd"	"0.975quant"	-6.98173126498726	67
"9"	"Wstd"	"0.975quant"	5.31640301727337	67
"10"	"Intercept"	"mean"	-5.96259800659708	625
"11"	"NDVIstd"	"mean"	-10.6761541571506	625
"12"	"Wstd"	"mean"	2.93137075361542	625
"13"	"Intercept"	"0.025quant"	-10.1448092772092	625
"14"	"NDVIstd"	"0.025quant"	-15.656320048001	625
"15"	"Wstd"	"0.025quant"	1.34169171115602	625
"16"	"Intercept"	"0.975quant"	-2.70085266602615	625
"17"	"NDVIstd"	"0.975quant"	-7.18324125471486	625
"18"	"Wstd"	"0.975quant"	4.95678438718969	625
"19"	"Intercept"	"mean"	-5.11228817049133	878
"20"	"NDVIstd"	"mean"	-8.86767372691452	878
"21"	"Wstd"	"mean"	3.32856423361487	878
"22"	"Intercept"	"0.025quant"	-8.73486972441761	878
"23"	"NDVIstd"	"0.025quant"	-12.7307778143467	878
"24"	"Wstd"	"0.025quant"	1.77919560485995	878
"25"	"Intercept"	"0.975quant"	-2.21412437742224	878
"26"	"NDVIstd"	"0.975quant"	-6.18608082324694	878
"27"	"Wstd"	"0.975quant"	5.34205406857472	878
"28"	"Intercept"	"mean"	-6.13676921848207	628
"29"	"NDVIstd"	"mean"	-9.65170153810166	628
"30"	"Wstd"	"mean"	3.39989097784769	628
"31"	"Intercept"	"0.025quant"	-10.2974951278256	628
"32"	"NDVIstd"	"0.025quant"	-13.8741469079434	628
"33"	"Wstd"	"0.025quant"	1.86610739392089	628
"34"	"Intercept"	"0.975quant"	-2.87476275825498	628
"35"	"NDVIstd"	"0.975quant"	-6.67035605393566	628
"36"	"Wstd"	"0.975quant"	5.37721997623808	628
"37"	"Intercept"	"mean"	-6.32916434150621	518
"38"	"NDVIstd"	"mean"	-10.324005730184	518
"39"	"Wstd"	"mean"	2.82173737081197	518
"40"	"Intercept"	"0.025quant"	-10.5192144155858	518
"41"	"NDVIstd"	"0.025quant"	-14.8681916831262	518
"42"	"Wstd"	"0.025quant"	1.23463283678891	518
"43"	"Intercept"	"0.975quant"	-3.09677703254459	518
"44"	"NDVIstd"	"0.975quant"	-7.07805712837635	518
"45"	"Wstd"	"0.975quant"	4.79775517798966	518
"46"	"Intercept"	"mean"	-4.81059281848856	275
"47"	"NDVIstd"	"mean"	-8.28863503485056	275
"48"	"Wstd"	"mean"	2.99243871245598	275
"49"	"Intercept"	"0.025quant"	-8.46613911327266	275
"50"	"NDVIstd"	"0.025quant"	-12.0659926369002	275
"51"	"Wstd"	"0.025quant"	1.49917798611154	275
"52"	"Intercept"	"0.975quant"	-1.8688175146285	275
"53"	"NDVIstd"	"0.975quant"	-5.67940879460185	275
"54"	"Wstd"	"0.975quant"	4.90407546453145	275
"55"	"Intercept"	"mean"	-5.89005113161117	802
"56"	"NDVIstd"	"mean"	-9.97628599619611	802
"57"	"Wstd"	"mean"	2.92636764406332	802
"58"	"Intercept"	"0.025quant"	-9.96842983792185	802
"59"	"NDVIstd"	"0.025quant"	-14.4644938542382	802
"60"	"Wstd"	"0.025quant"	1.37586259526314	802
"61"	"Intercept"	"0.975quant"	-2.66725341917551	802
"62"	"NDVIstd"	"0.975quant"	-6.83480691018777	802
"63"	"Wstd"	"0.975quant"	4.86632619715858	802
"64"	"Intercept"	"mean"	-5.59329279327054	546
"65"	"NDVIstd"	"mean"	-9.44409402607289	546
"66"	"Wstd"	"mean"	2.72346309770902	546
"67"	"Intercept"	"0.025quant"	-9.36036308376975	546
"68"	"NDVIstd"	"0.025quant"	-13.6561822486603	546
"69"	"Wstd"	"0.025quant"	1.23525168672995	546
"70"	"Intercept"	"0.975quant"	-2.65638546439221	546
"71"	"NDVIstd"	"0.975quant"	-6.50985853670779	546
"72"	"Wstd"	"0.975quant"	4.6036373244824	546
"73"	"Intercept"	"mean"	-5.61593122582559	684
"74"	"NDVIstd"	"mean"	-8.88180848761128	684
"75"	"Wstd"	"mean"	2.64080144253129	684
"76"	"Intercept"	"0.025quant"	-9.46597791778109	684
"77"	"NDVIstd"	"0.025quant"	-12.9128547634295	684
"78"	"Wstd"	"0.025quant"	1.16759844894702	684
"79"	"Intercept"	"0.975quant"	-2.60975978073401	684
"80"	"NDVIstd"	"0.975quant"	-6.05867850856637	684
"81"	"Wstd"	"0.975quant"	4.45718707163102	684
"82"	"Intercept"	"mean"	-5.49041612504987	823
"83"	"NDVIstd"	"mean"	-12.1241890663198	823
"84"	"Wstd"	"mean"	2.04447761147847	823
"85"	"Intercept"	"0.025quant"	-9.33026428529096	823
"86"	"NDVIstd"	"0.025quant"	-17.5823332584051	823
"87"	"Wstd"	"0.025quant"	0.418162538748676	823
"88"	"Intercept"	"0.975quant"	-2.48637634258504	823
"89"	"NDVIstd"	"0.975quant"	-8.39204242389892	823
"90"	"Wstd"	"0.975quant"	3.88575433456808	823
